 ano_dados | id_deputado |                        nome                         |         eixo_maior          | votos_sim | votos_nao | abstencoes | votos_total 
-----------+-------------+-----------------------------------------------------+-----------------------------+-----------+-----------+------------+-------------
      2023 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Ambiental e energetico      |         9 |         5 |          1 |          17
      2024 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Ambiental e energetico      |        22 |        18 |          1 |          43
      2023 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Cultura e sociedade         |         7 |         3 |          0 |          17
      2024 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Cultura e sociedade         |         2 |         0 |          0 |           2
      2023 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Economico                   |        55 |        54 |          6 |         141
      2024 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Economico                   |        54 |        49 |          1 |         107
      2023 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Infraestrutura e tecnologia |        13 |         4 |          0 |          19
      2024 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Infraestrutura e tecnologia |        11 |         7 |          0 |          18
      2023 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Institucional e juridico    |        27 |        24 |          1 |          59
      2024 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Institucional e juridico    |        22 |        10 |          0 |          32
      2023 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Internacional               |         6 |         1 |          0 |           7
      2024 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Internacional               |         3 |         0 |          0 |           3
      2023 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Seguranca                   |         2 |         1 |          0 |           4
      2024 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Seguranca                   |        19 |         8 |          0 |          27
      2023 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Social                      |        17 |        16 |          2 |          44
      2024 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Social                      |        10 |        11 |          0 |          21
      2023 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Ambiental e energetico      |         6 |         6 |          0 |          12
      2024 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Ambiental e energetico      |        24 |        21 |          0 |          45
      2025 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Ambiental e energetico      |        31 |        17 |          0 |          48
      2026 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Ambiental e energetico      |         7 |         4 |          0 |          11
