      escolaridade       | id_deputado |                        nome                         
-------------------------+-------------+-----------------------------------------------------
 Doutorado               |      204528 | ADRIANA MIGUEL VENTURA
 Doutorado               |      204503 | ALEXANDRE ROCHA SANTOS PADILHA
 Doutorado               |      220632 | ANA CRISTINA DE LIMA PIMENTEL
 Doutorado               |      229106 | CARLA SIMARA LUCIANA DA SILVA AYRES
 Doutorado               |      204486 | CARLOS MAURO BENEVIDES FILHO
 Doutorado               |      206018 | CÉLIA NUNES CORREA
 Doutorado               |      204496 | CELSO SABINO DE OLIVEIRA
 Doutorado               |      220614 | DANIEL RICARDO SORANZ PINTO
 Doutorado               |      204473 | ELIÉSER GIRÃO MONTEIRO FILHO
 Doutorado               |      132504 | ENIO JOSÉ VERRI
 Doutorado               |      220648 | FERNANDO JOSE DE SOUZA MARANGONI
 Doutorado               |      178857 | JORGE JOSE SANTOS PEREIRA SOLLA
 Doutorado               |      178866 | LUIZIANNE DE OLIVEIRA LINS
 Doutorado               |      204512 | MARCELO EDUARDO FREITAS
 Doutorado               |      104552 | MARIA DO SOCORRO NERI MEDEIROS DE SOUZA
 Doutorado               |      178997 | MOSES HAENDEL MELO RODRIGUES
 Doutorado               |      234310 | RICARDO MAGNUS OSÓRIO GALVÃO
 Doutorado               |      220598 | TARCISIO MOTTA DE CARVALHO
 Doutorado Incompleto    |      220686 | HILDELIS SILVA DUARTE JUNIOR
 Doutorado Incompleto    |       98057 | LAFAYETTE LUIZ DOORGAL DE ANDRADA
 Doutorado Incompleto    |      220580 | MARIA GORETH DA SILVA E SOUSA
 Doutorado Incompleto    |      220609 | MAURICIO FONSECA RIBEIRO CARVALHO DE MORAES
 Doutorado Incompleto    |      220606 | REIMONT LUIZ OTONI SANTA BARBARA
 Doutorado Incompleto    |       77003 | SERGIO AUGUSTO SANTOS RODRIGUES
 Doutorado Incompleto    |      160569 | WALDENOR ALVES PEREIRA FILHO
 Ensino Fundamental      |      220692 | ADALBERTO ROSA BARRETO
 Ensino Fundamental      |      204495 | AIRTON LUIZ FALEIRO
 Ensino Fundamental      |      229585 | ELISANGELA DOS SANTOS ARAUJO
 Ensino Fundamental      |      161550 | EMIDIO ALVES MADEIRA JUNIOR
 Ensino Fundamental      |      160976 | FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA
 Ensino Fundamental      |      204387 | GILSON CARDOSO FAHUR
 Ensino Fundamental      |      220531 | GILVAM MAXIMO
 Ensino Fundamental      |      220592 | JOSÉ ESTEPHAN AMORIM BARBARY FILHO
 Ensino Fundamental      |      220600 | JOSE EURIPEDES CLEMENTE
 Ensino Fundamental      |      166402 | MAGDA MOFATTO HON
 Ensino Fundamental      |      204489 | MARCOS ROBERIO RIBEIRO MONTEIRO
 Ensino Fundamental      |      160610 | VALMIR CARLOS DA ASSUNÇÃO
 Ensino Médio            |      121948 | ADRIANO ANTÔNIO AVELAR
 Ensino Médio            |      204571 | ALEX MARCO SANTANA SOUSA
 Ensino Médio            |      221148 | ALFREDO ALVES CAVALCANTE
 Ensino Médio            |      220612 | Carlos Roberto Rodrigues
 Ensino Médio            |      220571 | DANIEL VIEIRA RAMOS
 Ensino Médio            |      160552 | DANRLEI DE DEUS HINTERHOLZ
 Ensino Médio            |      220659 | DAYANY BITTENCOURT SANTIL
 Ensino Médio            |      220671 | DILVANDA FURTADO FARO
 Ensino Médio            |      141421 | EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA
 Ensino Médio            |      218086 | ELIANE DE SOUSA ALVES
 Ensino Médio            |      220665 | ERICA CLARISSA BORBA CORDEIRO DE MOURA
