Q7 - ranking de custo-beneficio por deputado
Resumo executivo
 ano_dados | deputados_com_gasto | media_beneficio | maior_beneficio 
-----------+---------------------+-----------------+-----------------
      2023 |                 538 |          812.44 |        15249.76
      2024 |                 554 |          694.66 |        23134.45
      2025 |                 535 |         1090.73 |        40893.36
      2026 |                 512 |          317.29 |         8046.60
(4 rows)


Tabela principal - top 30 por custo-beneficio
 ano_dados | id_deputado |                nome                 | sigla_uf | sigla_partido | gasto_total | qtd_proposicoes | proposicoes_aprovadas | qualidade_proposicoes | presenca_total | fator_penalidade_gasto | beneficio |    custo_beneficio     
-----------+-------------+-------------------------------------+----------+---------------+-------------+-----------------+-----------------------+-----------------------+----------------+------------------------+-----------+------------------------
      2023 |      204365 | Gilson Marques                      | SC       | NOVO          |   117305.28 |            2995 |                     0 |              14538.42 |            202 |                   1.10 |  14558.62 | 0.11282620092556013599
      2023 |      204528 | Adriana Ventura                     | SP       | NOVO          |    55965.41 |            1125 |                     0 |               4242.49 |            309 |                   1.00 |   4273.39 | 0.07635770022948103123
      2023 |      204506 | Marcos Pereira                      | SP       | REPUBLICANOS  |   448549.61 |            3111 |                     0 |              15239.76 |            100 |                   1.45 |  15249.76 | 0.02344685097835435754
      2023 |      178937 | Altineu Côrtes                      | RJ       | PL            |   342496.26 |            1827 |                     0 |               8020.26 |             79 |                   1.25 |   8028.16 | 0.01875211133692379590
      2023 |      204450 | Doutor Luizinho                     | RJ       | PP            |    52917.85 |             254 |                     0 |                971.45 |             33 |                   1.00 |    974.75 | 0.01842006052778032365
      2023 |      204572 | Capitão Alberto Neto                | AM       | PL            |   415057.49 |            1776 |                     0 |               7493.33 |            255 |                   1.45 |   7518.83 | 0.01249320907327801746
      2023 |      220618 | Sargento Portugal                   | RJ       | PODE          |   358084.44 |            1436 |                     0 |               5526.16 |            296 |                   1.25 |   5555.76 | 0.01241217853531976983
      2023 |       74478 | Luciano Bivar                       | PE       | MDB           |   272636.70 |             837 |                     0 |               4168.92 |             60 |                   1.25 |   4174.92 | 0.01225050039117991085
      2023 |      204536 | Kim Kataguiri                       | SP       | MISSAO        |   275453.54 |             840 |                     0 |               3470.16 |            269 |                   1.25 |   3497.06 | 0.01015651496074437816
