Q9 - Vies ideologico dos deputados (direita / esquerda / centro)

Q9.1 - Catalogo de partidos por ideologia
 ideologia |                                  partidos                                  | qtd_partidos 
-----------+----------------------------------------------------------------------------+--------------
 centro    | AVANTE, CIDADANIA, MDB, MISSAO, PODE, PRD, PSD, PSDB, SOLIDARIEDADE, UNIAO |           10
 direita   | NOVO, PL, PP, REPUBLICANOS                                                 |            4
 esquerda  | PCDOB, PDT, PSB, PSOL, PT, PV, REDE                                        |            7
(3 rows)


Q9.1 - Lista completa partidos x ideologia
 sigla_partido | ideologia 
---------------+-----------
 AVANTE        | centro
 CIDADANIA     | centro
 MDB           | centro
 MISSAO        | centro
 PODE          | centro
 PRD           | centro
 PSD           | centro
 PSDB          | centro
 SOLIDARIEDADE | centro
 UNIAO         | centro
 NOVO          | direita
 PL            | direita
 PP            | direita
 REPUBLICANOS  | direita
 PCDOB         | esquerda
 PDT           | esquerda
 PSB           | esquerda
 PSOL          | esquerda
 PT            | esquerda
 PV            | esquerda
 REDE          | esquerda
(21 rows)


Q9.2 - Correlacao ideologia x proposicao (pct de Sim por campo)
 ano_dados | id_votacao  |                        titulo_proposicao                         | ideologia | votos_sim | votos_nao | outros | total_votos | pct_sim 
-----------+-------------+------------------------------------------------------------------+-----------+-----------+-----------+--------+-------------+---------
      2023 | 1197773-90  | REQ 2360/2023                                                    | centro    |       123 |        10 |      1 |         134 |    91.8
      2023 | 1197773-90  | REQ 2360/2023                                                    | direita   |       106 |        37 |      1 |         144 |    73.6
      2023 | 1197773-90  | REQ 2360/2023                                                    | esquerda  |       102 |         0 |      0 |         102 |   100.0
      2023 | 1197773-99  | REQ 2360/2023                                                    | centro    |        24 |       104 |      0 |         128 |    18.8
      2023 | 1197773-99  | REQ 2360/2023                                                    | direita   |        77 |        70 |      2 |         149 |    51.7
      2023 | 1197773-99  | REQ 2360/2023                                                    | esquerda  |        15 |        86 |      0 |         101 |    14.9
      2023 | 1301025-111 | PRL 1 CCJC => PL 1733/2015                                       | centro    |         4 |         8 |      0 |          12 |    33.3
      2023 | 1301025-111 | PRL 1 CCJC => PL 1733/2015                                       | direita   |         4 |         5 |      0 |           9 |    44.4
      2023 | 1301025-111 | PRL 1 CCJC => PL 1733/2015                                       | esquerda  |         0 |        15 |      0 |          15 |     0.0
      2023 | 1301241-77  | PRL 1 CCJC => PL 1761/2015                                       | centro    |         1 |         6 |      0 |           7 |    14.3
      2023 | 1301241-77  | PRL 1 CCJC => PL 1761/2015                                       | direita   |        14 |         6 |      0 |          20 |    70.0
      2023 | 1301241-77  | PRL 1 CCJC => PL 1761/2015                                       | esquerda  |         0 |        14 |      0 |          14 |     0.0
      2023 | 1548579-109 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                | centro    |        15 |       118 |      1 |         134 |    11.2
      2023 | 1548579-109 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                | direita   |        22 |        64 |     54 |         140 |    15.7
      2023 | 1548579-109 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                | esquerda  |        14 |        83 |      0 |          97 |    14.4
      2023 | 1548579-114 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                | centro    |        17 |       127 |      0 |         144 |    11.8
      2023 | 1548579-114 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                | direita   |        21 |        64 |     49 |         134 |    15.7
      2023 | 1548579-114 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                | esquerda  |        15 |        89 |      0 |         104 |    14.4
      2023 | 1548579-122 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                | centro    |        18 |       133 |      0 |         151 |    11.9
      2023 | 1548579-122 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                | direita   |        18 |        69 |     62 |         149 |    12.1
      2023 | 1548579-122 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                | esquerda  |        12 |        92 |      0 |         104 |    11.5
      2023 | 1548579-126 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                | centro    |       126 |        15 |      1 |         142 |    88.7
      2023 | 1548579-126 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                | direita   |        75 |        74 |      7 |         156 |    48.1
      2023 | 1548579-126 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                | esquerda  |        97 |        13 |      0 |         110 |    88.2
      2023 | 1548579-144 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                | centro    |       135 |         8 |      0 |         143 |    94.4
      2023 | 1548579-144 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                | direita   |       141 |         0 |     10 |         151 |    93.4
      2023 | 1548579-144 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                | esquerda  |        22 |        73 |      0 |          95 |    23.2
