year,eixo,count
2023,Social,5805
2023,Institucional e juridico,3486
2023,Economico,2954
2023,Seguranca,2411
2023,Infraestrutura e tecnologia,1954
2023,Ambiental e energetico,1532
2023,Cultura e sociedade,1109
2023,Internacional,318
2024,Social,1611
2024,Infraestrutura e tecnologia,831
2024,Institucional e juridico,821
2024,Economico,770
2024,Seguranca,514
2024,Ambiental e energetico,402
2024,Cultura e sociedade,272
2024,Internacional,88
2025,Social,1455
2025,Institucional e juridico,1050
2025,Economico,924
2025,Seguranca,552
2025,Infraestrutura e tecnologia,530
2025,Ambiental e energetico,406
2025,Cultura e sociedade,332
2025,Internacional,131
2026,Social,2475
2026,Institucional e juridico,1767
2026,Economico,1733
2026,Infraestrutura e tecnologia,1138
2026,Seguranca,1016
2026,Cultura e sociedade,842
2026,Ambiental e energetico,774
2026,Internacional,251
