Q6 - escolaridade e indicadores medios
Tabela principal - medias por escolaridade
ano_dados |            escolaridade | qtd_deputados | media_gasto | media_fidelidade | media_proposicoes | media_presenca_eventos | media_presenca_plenario
----------+-------------------------+---------------+-------------+------------------+-------------------+------------------------+------------------------
     2023 |               Doutorado |            16 |   380547.33 |            97.16 |            397.12 |                 190.44 |                  187.50
     2023 |    Doutorado Incompleto |             6 |   465091.91 |            98.53 |            328.33 |                 216.83 |                  214.00
     2023 |      Ensino Fundamental |            11 |   429843.55 |            88.95 |            239.82 |                 147.91 |                  146.73
     2023 |            Ensino Médio |            25 |   402467.83 |            92.38 |            214.08 |                 170.72 |                  169.72
     2023 | Ensino Médio Incompleto |             2 |   419134.04 |            89.20 |            176.00 |                 152.00 |                  152.00
     2023 |                Mestrado |            43 |   393250.88 |            87.75 |            281.98 |                 175.09 |                  173.65
     2023 |     Mestrado Incompleto |             5 |   381557.06 |           100.00 |            528.20 |                 250.00 |                  246.60
     2023 |           Nao informado |            14 |   231327.10 |            95.65 |            128.43 |                 117.64 |                  116.36
     2023 |     Primário Incompleto |             1 |   411386.43 |                  |            622.00 |                 184.00 |                  181.00
     2023 |           Pós-Graduação |            79 |   424891.64 |            89.44 |            362.56 |                 214.06 |                  212.66
     2023 |              Secundário |             2 |   520581.93 |            91.92 |            102.50 |                 194.00 |                  194.00
     2023 |                Superior |           322 |   425901.64 |            90.58 |            253.27 |                 188.69 |                  187.18
     2023 |     Superior Incompleto |            41 |   425079.15 |            89.66 |            222.39 |                 196.15 |                  193.73
     2024 |               Doutorado |            15 |   409760.34 |            96.25 |              1.13 |                 152.33 |                  149.80
     2024 |    Doutorado Incompleto |             6 |   510708.56 |            96.97 |              1.83 |                 175.17 |                  173.00
     2024 |      Ensino Fundamental |            12 |   433312.09 |            82.76 |              0.75 |                 105.67 |                  104.33
     2024 |            Ensino Médio |            28 |   397791.63 |            87.63 |              0.86 |                 120.36 |                  119.21
     2024 | Ensino Médio Incompleto |             2 |   306994.02 |            88.89 |              0.50 |                  83.00 |                   83.00
     2024 |                Mestrado |            42 |   426155.13 |            96.68 |              0.98 |                 135.29 |                  134.43
     2024 |     Mestrado Incompleto |             5 |   417490.77 |           100.00 |              1.40 |                 196.20 |                  194.00
     2024 |           Nao informado |            28 |   234094.72 |            96.36 |              0.39 |                  77.57 |                   77.04
     2024 |     Primário Incompleto |             1 |   485866.74 |                  |              0.00 |                 113.00 |                  112.00
     2024 |           Pós-Graduação |            80 |   444541.85 |            93.31 |              1.43 |                 150.95 |                  149.71
     2024 |              Secundário |             2 |   522494.26 |           100.00 |              0.50 |                 128.50 |                  127.50
     2024 |                Superior |           318 |   451995.94 |            93.47 |              1.17 |                 135.21 |                  134.16
     2024 |     Superior Incompleto |            42 |   425732.74 |            89.73 |              1.19 |                 124.36 |                  123.21
     2025 |               Doutorado |            16 |   352079.88 |            96.92 |              0.00 |                 200.00 |                  194.94
     2025 |    Doutorado Incompleto |             7 |   398065.63 |            91.66 |              0.00 |                 205.71 |                  201.43
     2025 |      Ensino Fundamental |            11 |   418195.56 |            62.96 |              0.00 |                 153.18 |                  152.55
     2025 |            Ensino Médio |            27 |   424449.44 |            92.38 |              0.00 |                 181.67 |                  180.96
     2025 | Ensino Médio Incompleto |             2 |   494973.73 |           100.00 |              0.00 |                 154.50 |                  154.50
     2025 |                Mestrado |            41 |   406851.90 |            86.48 |              0.00 |                 179.17 |                  175.76
     2025 |     Mestrado Incompleto |             5 |   366587.93 |           100.00 |              0.00 |                 287.80 |                  285.40
     2025 |           Nao informado |            15 |   291533.68 |            80.68 |              0.00 |                 132.20 |                  131.07
     2025 |     Primário Incompleto |             1 |   474214.45 |                  |              0.00 |                 159.00 |                  159.00
     2025 |           Pós-Graduação |            81 |   439096.91 |            88.12 |              0.00 |                 215.48 |                  213.51
     2025 |              Secundário |             2 |   397637.17 |                  |              0.00 |                 103.00 |                  103.00
     2025 |   Secundário Incompleto |             1 |   511089.19 |                  |              0.00 |                  99.00 |                   99.00
     2025 |                Superior |           316 |   439944.91 |            89.34 |              0.00 |                 197.04 |                  195.01
     2025 |     Superior Incompleto |            39 |   422868.03 |            84.48 |              0.00 |                 191.85 |                  190.46
     2026 |               Doutorado |            15 |   128348.59 |            77.35 |             77.07 |                  76.33 |                   75.40
     2026 |    Doutorado Incompleto |             6 |   135671.19 |            90.72 |             50.67 |                  69.67 |                   69.67
     2026 |      Ensino Fundamental |            10 |   106177.04 |            91.99 |             17.50 |                  54.70 |                   54.40
     2026 |            Ensino Médio |            24 |   132806.34 |            82.60 |             30.29 |                  56.00 |                   55.50
     2026 | Ensino Médio Incompleto |             2 |   154765.64 |           100.00 |             13.00 |                  51.50 |                   51.50
     2026 |                Mestrado |            38 |   118862.97 |            93.18 |             55.34 |                  61.82 |                   61.34
     2026 |     Mestrado Incompleto |             5 |   108422.75 |            80.00 |            100.60 |                  79.00 |                   78.60
     2026 |           Nao informado |            17 |    89104.80 |            95.90 |             18.94 |                  44.24 |                   44.18
     2026 |     Primário Incompleto |             1 |   136254.45 |                  |             31.00 |                  50.00 |                   49.00
     2026 |           Pós-Graduação |            78 |   130719.33 |            88.96 |             71.62 |                  67.35 |                   66.86
     2026 |              Secundário |             1 |   111503.53 |                  |              1.00 |                  33.00 |                   33.00
     2026 |                Superior |           317 |   130350.05 |            93.54 |             52.61 |                  63.28 |                   62.69
     2026 |     Superior Incompleto |            41 |   106641.90 |            96.98 |             35.66 |                  57.22 |                   56.56
(53 rows)
