Q7 complemento - ranking completo por beneficio
Tabela principal - ranking completo por beneficio
ano_dados | id_deputado |                                nome | gasto_total | qtd_proposicoes | proposicoes_aprovadas | presenca_total | beneficio | custo_beneficio
----------+-------------+-------------------------------------+-------------+-----------------+-----------------------+----------------+-----------+----------------
     2023 |      204506 |                      Marcos Pereira |   448549.61 |         3111.00 |                  1.00 |         100.00 |   4712.50 |      0.01050608
     2023 |      204365 |                      Gilson Marques |   117305.28 |         2995.00 |                  1.00 |         202.00 |   4548.70 |      0.03877660
     2023 |      204572 |                Capitão Alberto Neto |   415057.49 |         1776.00 |                  3.00 |         255.00 |   2797.50 |      0.00674003
     2023 |      178937 |                      Altineu Côrtes |   342496.26 |         1827.00 |                  1.00 |          79.00 |   2784.40 |      0.00812972
     2023 |       74856 |                      Laura Carneiro |   440687.09 |         1300.00 |                 10.00 |         373.00 |   2347.30 |      0.00532646
     2023 |      220618 |                   Sargento Portugal |   358084.44 |         1436.00 |                  1.00 |         296.00 |   2219.60 |      0.00619854
     2023 |      220648 |                           Marangoni |   507383.41 |         1275.00 |                  4.00 |         260.00 |   2082.50 |      0.00410439
     2023 |      204535 |                        Sâmia Bomfim |   385777.15 |         1163.00 |                  0.00 |         253.00 |   1769.80 |      0.00458762
     2023 |      204528 |                     Adriana Ventura |    55965.41 |         1125.00 |                  1.00 |         309.00 |   1754.40 |      0.03134793
     2023 |       74084 |                     Raimundo Santos |   464852.28 |         1071.00 |                  3.00 |         211.00 |   1735.60 |      0.00373366
     2023 |      204536 |                       Kim Kataguiri |   275453.54 |          840.00 |                  3.00 |         269.00 |   1394.90 |      0.00506401
     2023 |      220715 |                         Amom Mandel |    12966.50 |          886.00 |                  1.00 |         204.00 |   1385.40 |      0.10684456
     2023 |      160598 |                       Flávia Morais |   397478.45 |          776.00 |                  5.00 |         405.00 |   1384.50 |      0.00348321
     2023 |      178986 |                         Nilto Tatto |   477736.64 |          860.00 |                  2.00 |         213.00 |   1383.30 |      0.00289553
     2023 |      133439 |                    André Figueiredo |   492469.02 |          812.00 |                  2.00 |         274.00 |   1317.40 |      0.00267509
     2023 |      220598 |                      Tarcísio Motta |   382623.77 |          844.00 |                  0.00 |         361.00 |   1302.10 |      0.00340308
     2023 |       74478 |                       Luciano Bivar |   272636.70 |          837.00 |                  1.00 |          60.00 |   1297.50 |      0.00475908
     2023 |      220547 |                       Marcos Pollon |   491300.24 |          810.00 |                  1.00 |         355.00 |   1286.50 |      0.00261856
     2023 |      160575 |                         Erika Kokay |   390108.11 |          785.00 |                  1.00 |         481.00 |   1261.60 |      0.00323398
     2023 |      178871 |                Evair Vieira de Melo |   492719.10 |          806.00 |                  0.00 |         359.00 |   1244.90 |      0.00252659
