caminho;tamanho_bytes;tamanho_mb;linhas;colunas;hash_sha256;data_modificacao;nota_confiabilidade;status_confiabilidade;justificativa
tabelas/2023/Ano-2023.csv;82114543;78.311;236772;32;4af883ed7baf5e0e2aedd5092a420d7f85a9143325bb03fcc70f6bb8397dd9f0;2026-05-29 23:52:09;100;Confiável;None
tabelas/2023/eventos-2023.csv;2402363;2.291;3320;13;3873b235b22430b0998c90fdbdd95e5c7f76470b37eabc33a29a1ecab4f58418;2026-05-29 23:52:09;70;Suspeito;API discrepancy: 309 rows missing compared to API
tabelas/2023/eventosPresencaDeputados-2023.csv;17110600;16.318;107787;5;0991627ba0fa7225ae06785c3e00e0a7b070c0fbd1f51c486f558b57c96c4251;2026-05-29 23:52:09;70;Suspeito;API discrepancy: 309 rows missing compared to API
tabelas/2023/proposicoes-2023.csv;52268933;49.848;62423;31;1a882bc8ef8551ca24ce1fa691337edbed6fa95d0976b7118d25e1337d44fd29;2026-05-29 23:52:09;90;Atenção;Suspect referential integrity issue: 92.6% match with parent
tabelas/2023/proposicoesAutores-2023.csv;42436222;40.470;164933;12;585d8d484e6c839394ad4cf7fa6a762e4cc9ffdda71d1545265410304e5b2bf4;2026-05-29 23:52:09;90;Atenção;Suspect referential integrity issue: 92.6% match with parent
tabelas/2023/proposicoesTemas-2023.csv;2763967;2.636;22913;7;39f2bd6cd9fe7e7169b2f52d9dd5a06ab2e04afc49c7eb36f5c3a0bfcd6214a6;2026-05-29 23:52:09;90;Atenção;Suspect referential integrity issue: 92.6% match with parent
tabelas/2023/votacoes-2023.csv;6693600;6.384;10831;20;e868d0c32fe4f24b4ec38d8db9a51f74b80fe4f1b3d00d287db87ba41c73f5db;2026-05-29 23:52:09;100;Confiável;None
tabelas/2023/votacoesObjetos-2023.csv;26316283;25.097;57240;12;ce5a7195c7a59c0e460d19ca22e9466705c80a3c8a78f907ab7cb4d52398c49f;2026-05-29 23:52:10;90;Atenção;Suspect referential integrity issue: 92.6% match with parent
tabelas/2023/votacoesOrientacoes-2023.csv;1056428;1.007;4359;7;2e50d90533cb17427fad1e8653008b28ce8b3fefcbb22de446adefd86c00e609;2026-05-29 23:52:10;100;Confiável;None
tabelas/2023/votacoesVotos-2023.csv;42923315;40.935;128679;12;f4de14c8d079667c5aa440633289020aa7567c12bdb170522870f5e96b77d404;2026-05-29 23:52:10;100;Confiável;None
tabelas/2024/Ano-2024.csv;80876187;77.130;232259;32;d5c839f45076849c473988636df025ea03de89fe041a267bcf44e8d3509aaea4;2026-05-29 23:52:10;100;Confiável;None
tabelas/2024/eventos-2024.csv;1713462;1.634;2357;13;d45a706563759d373d37acad1c2a7f0f168c311443ffc3e75e81d026fb15d063;2026-05-29 23:52:10;70;Suspeito;API discrepancy: 265 rows missing compared to API
tabelas/2024/eventosPresencaDeputados-2024.csv;12329464;11.758;77669;5;92fb48dbfd73e31194c9931b8b01e26b4d1056ca061f57f709968ee00617f527;2026-05-29 23:52:11;70;Suspeito;API discrepancy: 265 rows missing compared to API
tabelas/2024/proposicoes-2024.csv;30506734;29.093;35805;31;a33d51dc2fb649b90a2dc1773255470e420ba0288e236aa3518a29731d2083e8;2026-06-09 16:04:04;0;Crítico;"Unclosed quotes detected; No trailing newline; Temporal cutoff detected: only 9 months of data present; Critical referential integrity issue: 45.3% match with parent; Critical referential integrity issue: 60.3% match with parent; Critical referential integrity issue: 49.8% match with parent"
tabelas/2024/proposicoesAutores-2024.csv;17900732;17.071;71117;12;3ef8913b48781cd60f9e690d49e9b315b629e9b3a392ad54353b9e2a4581f66c;2026-05-29 23:52:11;15;Crítico;"Unclosed quotes detected; No trailing newline; Critical referential integrity issue: 45.3% match with parent; Critical referential integrity issue: 60.3% match with parent; Critical referential integrity issue: 49.8% match with parent"
tabelas/2024/proposicoesTemas-2024.csv;2861823;2.729;23690;7;331c591bf2b37adba990c60ad12d98b556365f6b078fb8cd6f647726461fbfa6;2026-05-29 23:52:11;40;Crítico;"Critical referential integrity issue: 45.3% match with parent; Critical referential integrity issue: 60.3% match with parent; Critical referential integrity issue: 49.8% match with parent"
tabelas/2024/votacoes-2024.csv;6269310;5.979;10371;20;77a5c6413d5116dad6d2f55cb5c0fd5510a56ecac3b4574bfad15af2ca5b5aba;2026-05-29 23:52:11;100;Confiável;None
tabelas/2024/votacoesObjetos-2024.csv;27221202;25.960;60948;12;46684cafca5a333582167b0f61efa3a699a7c655830afc8eb30a34c082d27258;2026-05-29 23:52:11;80;Atenção;Critical referential integrity issue: 49.8% match with parent
tabelas/2024/votacoesOrientacoes-2024.csv;1027978;0.980;4361;7;867d3c4d3c586f5695dc25850ed0ca2b0d0096e78fea0d3fb6b36455ccb70f92;2026-05-29 23:52:11;100;Confiável;None
tabelas/2024/votacoesVotos-2024.csv;6314159;6.022;18880;12;7014dfb72b81cf97433df70eb9ea335cfa5825792acadd557c6ea7a2a2a54878;2026-05-29 23:52:11;55;Suspeito;"Unclosed quotes detected; No trailing newline; Size anomaly: 62.1% fewer rows than mean"
tabelas/2025/Ano-2025.csv;74512784;71.061;208335;32;534dd74049d93c4e74e7d68ba3b295bed910e99199aabc6ce2845544b8da0db3;2026-05-29 23:52:11;100;Confiável;None
tabelas/2025/eventos-2025.csv;2441889;2.329;3223;13;9b979f8b0e8214dcbf10bc210970b581e80e8b6ecff8efa856484772e884142a;2026-05-29 23:52:11;70;Suspeito;API discrepancy: 223 rows missing compared to API
tabelas/2025/eventosPresencaDeputados-2025.csv;17458887;16.650;109990;5;c80b0753182c8e0b55c5628a081a4a7428b8c33a5e40186ba3637058d320cde9;2026-05-29 23:52:12;70;Suspeito;API discrepancy: 223 rows missing compared to API
tabelas/2025/proposicoes-2025.csv;32607982;31.097;38294;31;dc5d11153a7a7556bc01ff6b1e9d2e67d1eb7aa08da919aac6a6e9e8d81d28d2;2026-06-09 16:09:54;0;Crítico;"Unclosed quotes detected; No trailing newline; Temporal cutoff detected: only 6 months of data present; Critical referential integrity issue: 0.0% match with parent; Critical referential integrity issue: 41.1% match with parent; Suspect referential integrity issue: 83.7% match with parent; API discrepancy: 10,092 rows missing compared to API"
tabelas/2025/proposicoesAutores-2025.csv;6838832;6.522;27457;12;fb9e71ae565901cbd2438ec287cdc3681df3eae86ae4eb7b791fa4ad89d46a50;2026-05-29 23:52:12;0;Crítico;"Unclosed quotes detected; No trailing newline; Size anomaly: 63.0% fewer rows than mean; Critical referential integrity issue: 0.0% match with parent; Critical referential integrity issue: 41.1% match with parent; Suspect referential integrity issue: 83.7% match with parent; API discrepancy: 10,092 rows missing compared to API"
tabelas/2025/proposicoesTemas-2025.csv;5011526;4.779;40853;7;23f46e1a94b46ea9874c7b4323fc8dc085ea0069685843359c9cb19f06a6af8e;2026-05-29 23:52:12;20;Crítico;"Critical referential integrity issue: 0.0% match with parent; Critical referential integrity issue: 41.1% match with parent; Suspect referential integrity issue: 83.7% match with parent; API discrepancy: 10,092 rows missing compared to API"
tabelas/2025/votacoes-2025.csv;8762546;8.357;13825;20;4fbaa303198bd171d2381fbda94c70c53ec7f3a2c303de6f94613375bb9bfd30;2026-05-29 23:52:12;100;Confiável;None
tabelas/2025/votacoesObjetos-2025.csv;8110872;7.735;17360;12;401679aca868f8e90ba33982545c1b3a61c216c76895ebbbb8f6f4de16415591;2026-05-29 23:52:12;5;Crítico;"Unclosed quotes detected; No trailing newline; Temporal cutoff detected: only 4 months of data present; Size anomaly: 55.6% fewer rows than mean; Suspect referential integrity issue: 83.7% match with parent"
tabelas/2025/votacoesOrientacoes-2025.csv;1100331;1.049;4947;7;9129e17a1869c5b03a4635d2e108a24bfb32c31ecfe9cca52f09708031cb381d;2026-05-29 23:52:12;100;Confiável;None
tabelas/2025/votacoesVotos-2025.csv;5488391;5.234;16408;12;537c4d15eff1f0d641d2c2fc9a1702aaa09b5d5291756c9fd7cc431075ddfc8b;2026-05-29 23:52:12;15;Crítico;"Unclosed quotes detected; No trailing newline; Temporal cutoff detected: only 9 months of data present; Size anomaly: 67.0% fewer rows than mean"
tabelas/2026/Ano-2026.csv;20070312;19.141;52268;32;39ba4dabb655a67ceb83adadfebfaa344b633645960d42ec154dd5e58f54c8f0;2026-05-29 23:52:12;80;Atenção;Size anomaly: 71.3% fewer rows than mean
