ano_dados;id_votacao;sigla_bancada;orientacao;sigla_orgao;descricao
2023;2374400-121;MINORIA;Sim;PLEN;"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382."
2023;2374400-121;OPOSICAO;Sim;PLEN;"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382."
2023;2374400-121;FDRPSOL-REDE;Nao;PLEN;"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382."
2023;2374400-121;BLUNIPPFDRPSDBCID...;Nao;PLEN;"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382."
2023;2374400-121;PL;Sim;PLEN;"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382."
2023;2374400-121;NOVO;Sim;PLEN;"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382."
2023;2374400-121;MAIORIA;Nao;PLEN;"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382."
2023;2374400-121;BLMDBPSDREPPODE;Liberado;PLEN;"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382."
2023;2374400-121;GOVERNO;Nao;PLEN;"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382."
2023;2374400-121;FDRPT-PCDOB-PV;Nao;PLEN;"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382."
2023;2374400-110;FDRPT-PCDOB-PV;Sim;PLEN;"Aprovadas as Emendas do Senado Federal nº 1 (na parte em que altera os arts. 1º e 14 do PL 3.626, de 2023); e das Emendas nºs 2, 4 a 7, 10 a 15, 18 a 22, 25 a 28, 30, 31, 35, 37, 39, 41 e 42. Sim: 292; não: 114; abstenção: 1; total: 407."
2023;2374400-110;FDRPSOL-REDE;Sim;PLEN;"Aprovadas as Emendas do Senado Federal nº 1 (na parte em que altera os arts. 1º e 14 do PL 3.626, de 2023); e das Emendas nºs 2, 4 a 7, 10 a 15, 18 a 22, 25 a 28, 30, 31, 35, 37, 39, 41 e 42. Sim: 292; não: 114; abstenção: 1; total: 407."
2023;2374400-110;MAIORIA;Sim;PLEN;"Aprovadas as Emendas do Senado Federal nº 1 (na parte em que altera os arts. 1º e 14 do PL 3.626, de 2023); e das Emendas nºs 2, 4 a 7, 10 a 15, 18 a 22, 25 a 28, 30, 31, 35, 37, 39, 41 e 42. Sim: 292; não: 114; abstenção: 1; total: 407."
