Q5 complemento - top 5 fornecedores por categoria de gasto e por ano (57a leg.)
 ano_dados | posicao |                         categoria                         |                                             fornecedor                                             | qtd_lancamentos | total_pago  
-----------+---------+-----------------------------------------------------------+----------------------------------------------------------------------------------------------------+-----------------+-------------
      2023 |       1 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | JAIRO SOUZA DA COSTA 97257621268                                                                   |               1 |     1000.00
      2023 |       2 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | RODOVIA COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA                                                  |               2 |      528.02
      2023 |       3 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | CERTSERV CERTIFICADORA DIGITAL LTDA                                                                |               2 |      490.00
      2023 |       4 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | MERCURE                                                                                            |               1 |      390.31
      2023 |       5 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | ID BRASIL CERTIFICADO DIGITAL LTDA                                                                 |               1 |      380.00
      2023 |       1 | ASSINATURA DE PUBLICAÇÕES                                 | SEISELLES DISTRIBUIÇÃO E LOGÍSTICA EIRELI                                                          |              13 |    25125.47
      2023 |       2 | ASSINATURA DE PUBLICAÇÕES                                 | RBS ZERO HORA EDITORA JORNALISTICA S-A                                                             |              65 |     5849.98
      2023 |       3 | ASSINATURA DE PUBLICAÇÕES                                 | S.A O ESTADO DE S.PAULO                                                                            |              24 |     5228.40
      2023 |       4 | ASSINATURA DE PUBLICAÇÕES                                 | SEMPRE EDITORA LTDA.                                                                               |               4 |     3527.71
      2023 |       5 | ASSINATURA DE PUBLICAÇÕES                                 | Empresa Folha da Manhã S.A.                                                                        |               6 |     2545.40
      2023 |       1 | COMBUSTÍVEIS E LUBRIFICANTES.                             | 031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA                                           |            1442 |   296332.04
      2023 |       2 | COMBUSTÍVEIS E LUBRIFICANTES.                             | AUTO POSTO CINCO ESTRELAS LTDA                                                                     |            1238 |   245174.61
      2023 |       3 | COMBUSTÍVEIS E LUBRIFICANTES.                             | AUTO POSTO 303 NORTE LTDA                                                                          |            1010 |   199832.32
      2023 |       4 | COMBUSTÍVEIS E LUBRIFICANTES.                             | POSTO DA TORRE EIRELI EPP                                                                          |             869 |   192053.86
      2023 |       5 | COMBUSTÍVEIS E LUBRIFICANTES.                             | 063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA                                             |             934 |   187457.40
      2023 |       1 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | Facebook Serviços Online do Brasil                                                                 |             507 |  1510546.98
      2023 |       2 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | ELDORADO COMUNICACAO E JORNALISMO LTDA                                                             |             141 |   878856.07
      2023 |       3 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | I9 SOLUCOES EM MARKETING E MIDIAS DIGITAIS LTDA                                                    |              66 |   612450.00
      2023 |       4 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | MAIS PROPAGANDA LTDA.                                                                              |              22 |   433593.10
      2023 |       5 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | CARNAUBA ASSESSORIA DE COM E PIBLICIDADE                                                           |              10 |   430617.49
      2023 |       1 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC                                                   |            2576 |   157151.93
      2023 |       2 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | PETRUS GASTRONOMIA E SERVICOS LTDA                                                                 |             442 |    18962.49
      2023 |       3 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | J&F BAR E RESTAURANTE LTDA                                                                         |             364 |    11727.73
      2023 |       4 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | GOODS RESTAURANTE E LANCHONETE LTDA                                                                |             122 |    10321.61
      2023 |       5 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | SILT SELF SERVICE EIRELI ME                                                                        |             246 |     9810.95
      2023 |       1 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | HOTEL PHENICIA LTDA                                                                                |              80 |    58161.90
      2023 |       2 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | INVESTCITY INVESTIMENTOS E ADM DE IMOVEI                                                           |              38 |    41086.85
      2023 |       3 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | PAIAGUAS HOTEIS LTDA                                                                               |              61 |    35349.22
      2023 |       4 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | DANIELA BITTAR HOMSI HOTELARIA LTDA                                                                |              18 |    31925.99
      2023 |       5 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | ALOFT MONTEVIDEO                                                                                   |              26 |    27179.65
      2023 |       1 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | CTA - CLEITON TAXI AEREO LTDA                                                                      |              14 |   407770.00
      2023 |       2 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | CEARA TAXI AEREO LTDA                                                                              |               9 |   182280.00
      2023 |       3 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | ATA AEROTAXI ABAETE LTDA                                                                           |               8 |   160902.80
      2023 |       4 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | ORTIZ TÁXI AÉREO LTDA                                                                              |               3 |   125000.00
      2023 |       5 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | RIO BRANCO AEROTAXI LTDA-EPP                                                                       |               3 |   121050.00
      2023 |       1 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | JUNIO CESAR CARDOSO                                                                                |              24 |   144000.00
      2023 |       2 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | Santana Transportes Hidroviários Ltda                                                              |               2 |    42000.00
