Ranking global - todos os anos
 id_deputado |                        nome                         | sigla_uf | sigla_partido | gasto_total 
-------------+-----------------------------------------------------+----------+---------------+-------------
       73486 | DARCI POMPEO DE MATTOS                              | RS       | PDT           |  2163012.40
      220538 | JOSÉ FRANCISCO LOPES DE ALBUQUERQUE                 | RR       | REPUBLICANOS  |  2067636.28
      224117 | GABRIEL MOTA E SILVA                                | RR       | UNIAO         |  2029650.28
      220590 | ULYSSES FREITAS PEREIRA DE ARAÚJO                   | AC       | UNIAO         |  2016100.81
      204426 | JOSÉ CARLOS VERAS DOS SANTOS                        | PE       | PT            |  2000745.25
      160591 | VINICIUS DE AZEVEDO GURGEL                          | AP       | PL            |  1992801.19
      220536 | JOSÉ HAROLDO FIGUEIREDO CAMPOS                      | RR       | UNIAO         |  1961762.41
      141459 | JOÃO DA SILVA MAIA                                  | RN       | PP            |  1961156.79
       74374 | GERALDO RESENDE PEREIRA                             | MS       | UNIAO         |  1957811.36
      204360 | SILVIA CRISTINA AMANCIO CHAGAS                      | RO       | PP            |  1955097.88
      204479 | ANTONIO CARLOS NICOLETTI                            | RR       | PL            |  1954084.14
      204473 | ELIÉSER GIRÃO MONTEIRO FILHO                        | RN       | PL            |  1949295.28
      220537 | MARIA HELENA TEIXEIRA LIMA                          | RR       | PSD           |  1947809.40
       74090 | ÁTILA SIDNEY LINS DE ALBUQUERQUE                    | AM       | PSD           |  1943425.27
      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | AM       | MDB           |  1930296.29
      220608 | CRISTIANE LOPES DA LUZ                              | RO       | PODE          |  1922526.51
      204388 | ALCIBIO MESQUITA BIBO NUNES                         | RS       | PL            |  1920652.79
      141408 | CLEBER VERDE CORDEIRO MENDES                        | MA       | MDB           |  1919355.15
      220539 | STÉLIO DENER DE SOUZA CRUZ                          | RR       | UNIAO         |  1910414.03
      204406 | PEDRO BANDARRA WESTPHALEN                           | RS       | PP            |  1909064.57
      220591 | ROZIMEIRE RIBEIRO ANDRADE                           | AC       | UNIAO         |  1905772.24
      191923 | FLÁVIO RODRIGUES NOGUEIRA                           | PI       | PT            |  1905659.90
      220592 | JOSÉ ESTEPHAN AMORIM BARBARY FILHO                  | AC       | PP            |  1894558.05
      220551 | FRANCIANE ABADE BAYER MULLER                        | RS       | REPUBLICANOS  |  1888834.08
      204423 | ANDRÉ FERREIRA RODRIGUES                            | PE       | PL            |  1887413.70
