Q11_extra - Nuvem de palavras por partido: temas das proposicoes

Q11_extra - Frequencia de temas por partido (todos os anos)
 sigla_partido | tema                                        | frequencia 
----------------+----------------------------------------------+-------------
 AVANTE        | Direitos Humanos e Minorias                 |        112 
 AVANTE        | Administração Pública                       |         65 
 AVANTE        | Saúde                                       |         57 
 AVANTE        | Defesa e Segurança                          |         53 
 AVANTE        | Trabalho e Emprego                          |         47 
 AVANTE        | Direito Penal e Processual Penal            |         44 
 AVANTE        | Finanças Públicas e Orçamento               |         44 
 AVANTE        | Processo Legislativo e Atuação Parlamentar  |         27 
 AVANTE        | Educação                                    |         27 
 AVANTE        | Viação, Transporte e Mobilidade             |         24 
 AVANTE        | Economia                                    |         21 
 AVANTE        | Indústria, Comércio e Serviços              |         20 
 AVANTE        | Homenagens e Datas Comemorativas            |         18 
 AVANTE        | Arte, Cultura e Religião                    |         18 
 AVANTE        | Direito e Justiça                           |         18 
 AVANTE        | Previdência e Assistência Social            |         17 
 AVANTE        | Meio Ambiente e Desenvolvimento Sustentável |         16 
 AVANTE        | Comunicações                                |         15 
 AVANTE        | Cidades e Desenvolvimento Urbano            |         15 
 AVANTE        | Direito e Defesa do Consumidor              |         14 
 AVANTE        | Direito Constitucional                      |         13 
 AVANTE        | Energia, Recursos Hídricos e Minerais       |         10 
 AVANTE        | Direito Civil e Processual Civil            |          8 
 AVANTE        | Política, Partidos e Eleições               |          7 
 AVANTE        | Agricultura, Pecuária, Pesca e Extrativismo |          5 
 AVANTE        | Esporte e Lazer                             |          4 
 AVANTE        | Estrutura Fundiária                         |          4 
 AVANTE        | Ciência, Tecnologia e Inovação              |          3 
 AVANTE        | Relações Internacionais e Comércio Exterior |          2 
 CIDADANIA     | Administração Pública                       |       1069 
 CIDADANIA     | Saúde                                       |        985 
 CIDADANIA     | Direitos Humanos e Minorias                 |        649 
 CIDADANIA     | Educação                                    |        622 
 CIDADANIA     | Cidades e Desenvolvimento Urbano            |        583 
 CIDADANIA     | Meio Ambiente e Desenvolvimento Sustentável |        524 
 CIDADANIA     | Defesa e Segurança                          |        406 
 CIDADANIA     | Trabalho e Emprego                          |        241 
 CIDADANIA     | Previdência e Assistência Social            |        234 
 CIDADANIA     | Viação, Transporte e Mobilidade             |        234 
 CIDADANIA     | Ciência, Tecnologia e Inovação              |        210 
 CIDADANIA     | Finanças Públicas e Orçamento               |        203 
 CIDADANIA     | Energia, Recursos Hídricos e Minerais       |        199 
 CIDADANIA     | Indústria, Comércio e Serviços              |        149 
 CIDADANIA     | Economia                                    |        116 
 CIDADANIA     | Comunicações                                |        104 
 CIDADANIA     | Direito Penal e Processual Penal            |         82 
 CIDADANIA     | Direito e Defesa do Consumidor              |         74 
 CIDADANIA     | Esporte e Lazer                             |         61 
 CIDADANIA     | Agricultura, Pecuária, Pesca e Extrativismo |         57 
 CIDADANIA     | Direito e Justiça                           |         57 
 CIDADANIA     | Arte, Cultura e Religião                    |         34 
 CIDADANIA     | Processo Legislativo e Atuação Parlamentar  |         33 
 CIDADANIA     | Direito Civil e Processual Civil            |         32 
 CIDADANIA     | Homenagens e Datas Comemorativas            |         25 
 CIDADANIA     | Relações Internacionais e Comércio Exterior |         23 
 CIDADANIA     | Turismo                                     |         16 
 CIDADANIA     | Estrutura Fundiária                         |         15 
 CIDADANIA     | Direito Constitucional                      |         11 
 CIDADANIA     | Política, Partidos e Eleições               |          6 
 MDB           | Direitos Humanos e Minorias                 |        677 
 MDB           | Administração Pública                       |        477 
 MDB           | Saúde                                       |        462 
 MDB           | Finanças Públicas e Orçamento               |        366 
 MDB           | Indústria, Comércio e Serviços              |        308 
 MDB           | Educação                                    |        281 
 MDB           | Meio Ambiente e Desenvolvimento Sustentável |        261 
 MDB           | Trabalho e Emprego                          |        258 
 MDB           | Defesa e Segurança                          |        246 
 MDB           | Economia                                    |        238 
 MDB           | Direito Penal e Processual Penal            |        216 
 MDB           | Viação, Transporte e Mobilidade             |        214 
 MDB           | Agricultura, Pecuária, Pesca e Extrativismo |        186 
 MDB           | Direito e Defesa do Consumidor              |        161 
 MDB           | Homenagens e Datas Comemorativas            |        152 
 MDB           | Cidades e Desenvolvimento Urbano            |        134 
 MDB           | Arte, Cultura e Religião                    |        124 
 MDB           | Previdência e Assistência Social            |        123 
 MDB           | Comunicações                                |        119 
