eixo,count
Direitos Humanos e Minorias,11571
Administração Pública,10929
Saúde,8497
Finanças Públicas e Orçamento,6479
Defesa e Segurança,5459
"Agricultura, Pecuária, Pesca e Extrativismo",5319
Educação,4990
Meio Ambiente e Desenvolvimento Sustentável,4213
Trabalho e Emprego,3520
"Viação, Transporte e Mobilidade",3052
Economia,3032
"Indústria, Comércio e Serviços",2968
Direito Penal e Processual Penal,2891
Cidades e Desenvolvimento Urbano,2394
Previdência e Assistência Social,2311
Comunicações,2191
"Energia, Recursos Hídricos e Minerais",1964
Homenagens e Datas Comemorativas,1587
"Arte, Cultura e Religião",1543
Direito e Defesa do Consumidor,1510
Esporte e Lazer,1472
"Ciência, Tecnologia e Inovação",1411
Direito Civil e Processual Civil,1333
Relações Internacionais e Comércio Exterior,1265
Direito e Justiça,816
Estrutura Fundiária,654
Turismo,535
Processo Legislativo e Atuação Parlamentar,422
"Política, Partidos e Eleições",418
Direito Constitucional,119
Ciências Sociais e Humanas,17
Ciências Exatas e da Terra,10
