year,eixo,count
2023,Direitos Humanos e Minorias,2464
2023,Administração Pública,2179
2023,Saúde,1714
2023,Educação,1650
2023,Defesa e Segurança,1641
2023,Finanças Públicas e Orçamento,1612
2023,Meio Ambiente e Desenvolvimento Sustentável,915
2023,Trabalho e Emprego,855
2023,Direito Penal e Processual Penal,772
2023,"Viação, Transporte e Mobilidade",744
2023,Economia,644
2023,"Indústria, Comércio e Serviços",601
2023,Comunicações,574
2023,Homenagens e Datas Comemorativas,510
2023,"Ciência, Tecnologia e Inovação",462
2023,"Energia, Recursos Hídricos e Minerais",418
2023,Direito Civil e Processual Civil,375
2023,"Agricultura, Pecuária, Pesca e Extrativismo",372
2023,Previdência e Assistência Social,369
2023,"Arte, Cultura e Religião",336
2023,Direito e Defesa do Consumidor,326
2023,Relações Internacionais e Comércio Exterior,273
2023,Cidades e Desenvolvimento Urbano,272
2023,Estrutura Fundiária,228
2023,Esporte e Lazer,216
2023,Processo Legislativo e Atuação Parlamentar,196
2023,"Política, Partidos e Eleições",133
2023,Direito e Justiça,125
2023,Turismo,90
2023,Direito Constitucional,37
2023,Ciências Exatas e da Terra,3
2023,Ciências Sociais e Humanas,2
2024,Saúde,2468
2024,Administração Pública,2426
2024,Direitos Humanos e Minorias,2231
2024,Finanças Públicas e Orçamento,1506
2024,Meio Ambiente e Desenvolvimento Sustentável,1342
2024,Defesa e Segurança,1229
2024,Educação,1223
2024,Cidades e Desenvolvimento Urbano,997
2024,"Viação, Transporte e Mobilidade",979
2024,Trabalho e Emprego,785
2024,Economia,694
2024,"Energia, Recursos Hídricos e Minerais",639
2024,Direito Penal e Processual Penal,612
2024,"Indústria, Comércio e Serviços",579
2024,Previdência e Assistência Social,538
2024,Comunicações,495
2024,Homenagens e Datas Comemorativas,357
2024,"Agricultura, Pecuária, Pesca e Extrativismo",350
2024,"Arte, Cultura e Religião",334
2024,Direito Civil e Processual Civil,286
2024,Esporte e Lazer,284
2024,Relações Internacionais e Comércio Exterior,265
2024,"Ciência, Tecnologia e Inovação",247
2024,Direito e Defesa do Consumidor,247
2024,Direito e Justiça,211
2024,Estrutura Fundiária,129
2024,"Política, Partidos e Eleições",129
2024,Turismo,98
2024,Processo Legislativo e Atuação Parlamentar,82
2024,Direito Constitucional,28
2024,Ciências Sociais e Humanas,3
2024,Ciências Exatas e da Terra,1
2025,Direitos Humanos e Minorias,5363
2025,Administração Pública,4957
2025,"Agricultura, Pecuária, Pesca e Extrativismo",4304
2025,Saúde,3338
2025,Finanças Públicas e Orçamento,2301
2025,Defesa e Segurança,1827
2025,Educação,1547
2025,Meio Ambiente e Desenvolvimento Sustentável,1377
2025,Trabalho e Emprego,1232
2025,"Indústria, Comércio e Serviços",1137
2025,Economia,1050
2025,Previdência e Assistência Social,1046
2025,Direito Penal e Processual Penal,1018
2025,"Viação, Transporte e Mobilidade",924
2025,Cidades e Desenvolvimento Urbano,817
2025,Comunicações,787
2025,"Energia, Recursos Hídricos e Minerais",672
2025,"Arte, Cultura e Religião",648
2025,Direito e Defesa do Consumidor,612
2025,Esporte e Lazer,596
2025,Homenagens e Datas Comemorativas,530
2025,Relações Internacionais e Comércio Exterior,516
2025,Direito Civil e Processual Civil,483
2025,"Ciência, Tecnologia e Inovação",474
2025,Direito e Justiça,351
2025,Estrutura Fundiária,231
2025,Turismo,145
2025,Processo Legislativo e Atuação Parlamentar,107
2025,"Política, Partidos e Eleições",97
2025,Direito Constitucional,42
2025,Ciências Sociais e Humanas,11
2025,Ciências Exatas e da Terra,3
2026,Direitos Humanos e Minorias,1513
2026,Administração Pública,1367
2026,Finanças Públicas e Orçamento,1060
2026,Saúde,977
2026,Defesa e Segurança,762
2026,"Indústria, Comércio e Serviços",651
2026,Trabalho e Emprego,648
2026,Economia,644
2026,Meio Ambiente e Desenvolvimento Sustentável,579
2026,Educação,570
2026,Direito Penal e Processual Penal,489
2026,"Viação, Transporte e Mobilidade",405
2026,Esporte e Lazer,376
2026,Previdência e Assistência Social,358
2026,Comunicações,335
2026,Direito e Defesa do Consumidor,325
2026,Cidades e Desenvolvimento Urbano,308
2026,"Agricultura, Pecuária, Pesca e Extrativismo",293
2026,"Energia, Recursos Hídricos e Minerais",235
2026,"Ciência, Tecnologia e Inovação",228
2026,"Arte, Cultura e Religião",225
2026,Relações Internacionais e Comércio Exterior,211
2026,Turismo,202
2026,Homenagens e Datas Comemorativas,190
2026,Direito Civil e Processual Civil,189
2026,Direito e Justiça,129
2026,Estrutura Fundiária,66
2026,"Política, Partidos e Eleições",59
2026,Processo Legislativo e Atuação Parlamentar,37
2026,Direito Constitucional,12
2026,Ciências Exatas e da Terra,3
2026,Ciências Sociais e Humanas,1
