ano_dados;id_votacao;eixo_principal;eixos_secundarios;qtd_eixos_detectados;tem_classificacao_tematica;confianca_classificacao;versao_eixos;versao_classificador;origem_classificacao;campos_textuais_utilizados;evidencias_eixo_principal;evidencias_eixos_secundarios;score_eixo_principal;score_segundo_eixo;margem_score;score_por_eixo;texto_classificacao_hash;qtd_objetos_associados;qtd_proposicoes_associadas;materia_resumo;ementa_resumo;classificado_em
2023;1197773-90;Institucional e juridico;Seguranca;3;true;alta;EIXOS_Q3_V1;q3_textual_v1;texto_ementa_objeto;"ementa_objeto; ementa_proposicao; descricao_votacao; titulo_objeto";"ementa_objeto:ministerio publico; ementa_objeto:judiciario; ementa_objeto:constitucional; ementa_objeto:constituicao; ementa_proposicao:ministerio publico; ementa_proposicao:judiciario; ementa_proposicao:constitucional; ementa_proposicao:constituicao; descricao_votacao:constituicao";"{""Seguranca"": [""ementa_objeto:codigo penal"", ""ementa_objeto:crime"", ""ementa_proposicao:codigo penal"", ""ementa_proposicao:crime""]}";118.50;67.50;51.00;"{""Infraestrutura e tecnologia"": 15.0, ""Institucional e juridico"": 118.5, ""Seguranca"": 67.5}";f5b3d931d6f0579d00a9a0d639188541c9f6c81ea940cfa8cae9d30d05e75412;40;40;PL 4015/2023 (Nº Anterior: PL 996/2015);Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), e as Leis nºs 8.072, de 25 de julho de 1990 (Lei dos Crimes Hediondos), 12.694, de 24 julho de 2012, e 13.709, de 14 agosto de 2018 (Lei Geral de Proteção de Dados Pessoais), para reconhecer como atividade de risco permanente as atribuições inerentes ao Poder Judiciário e ao Ministério Público e garantir aos seus membros medidas de proteção, bem como recrudescer o tratamento penal destinado aos crimes de homicídio e de le...;2026-06-10T15:07:12.935748+00:00
2023;1197773-99;Institucional e juridico;Seguranca;3;true;alta;EIXOS_Q3_V1;q3_textual_v1;texto_ementa_objeto;"ementa_objeto; ementa_proposicao; descricao_votacao; titulo_objeto";"ementa_objeto:ministerio publico; ementa_objeto:judiciario; ementa_objeto:constitucional; ementa_objeto:constituicao; ementa_proposicao:ministerio publico; ementa_proposicao:judiciario; ementa_proposicao:constitucional; ementa_proposicao:constituicao";"{""Seguranca"": [""ementa_objeto:codigo penal"", ""ementa_objeto:crime"", ""ementa_proposicao:codigo penal"", ""ementa_proposicao:crime""]}";112.50;67.50;45.00;"{""Infraestrutura e tecnologia"": 15.0, ""Institucional e juridico"": 112.5, ""Seguranca"": 67.5}";2814e8cf7723bd74e54852cc7b1c214db912417e905c90d60b785cdafed6c84e;40;40;PL 4015/2023 (Nº Anterior: PL 996/2015);Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), e as Leis nºs 8.072, de 25 de julho de 1990 (Lei dos Crimes Hediondos), 12.694, de 24 julho de 2012, e 13.709, de 14 agosto de 2018 (Lei Geral de Proteção de Dados Pessoais), para reconhecer como atividade de risco permanente as atribuições inerentes ao Poder Judiciário e ao Ministério Público e garantir aos seus membros medidas de proteção, bem como recrudescer o tratamento penal destinado aos crimes de homicídio e de le...;2026-06-10T15:07:12.935748+00:00
2023;1301025-111;Social;Institucional e juridico;2;true;media;EIXOS_Q3_V1;q3_textual_v1;texto_ementa_objeto;"ementa_objeto; ementa_proposicao; descricao_votacao; titulo_objeto";"ementa_objeto:educacao; ementa_proposicao:educacao";"{""Institucional e juridico"": [""ementa_objeto:constitucional"", ""ementa_proposicao:constitucional""]}";37.50;30.00;7.50;"{""Institucional e juridico"": 30.0, ""Social"": 37.5}";b8bb23ce2cb6273f74742c0bac5838813048eb4b7a80e1ee42ae4b07ffbb6939;51;51;PL 1733/2015;Parecer da Relatora, Dep. Tabata Amaral (PSB-SP), pela constitucionalidade, juridicidade e técnica legislativa deste e do Substitutivo da Comissão de Educação.;2026-06-10T15:07:12.935748+00:00
2023;1301241-77;Institucional e juridico;;1;true;alta;EIXOS_Q3_V1;q3_textual_v1;texto_ementa_objeto;"ementa_objeto; ementa_proposicao; descricao_votacao; titulo_objeto";"ementa_objeto:constitucional; ementa_proposicao:constitucional";{};30.00;0.00;30.00;"{""Institucional e juridico"": 30.0}";8e521814bc0cc8022ab98e0faa56b48187323eaedee29d1c2f3baa986a306f38;11;11;PL 1761/2015;Parecer do Relator, Dep. Átila Lira (PP-PI), pela constitucionalidade, juridicidade e técnica legislativa.;2026-06-10T15:07:12.935748+00:00
2023;1548579-109;Economico;"Ambiental e energetico; Institucional e juridico";3;true;alta;EIXOS_Q3_V1;q3_textual_v1;texto_ementa_objeto;"ementa_objeto; ementa_proposicao; descricao_votacao; titulo_objeto";"ementa_objeto:comercio; ementa_objeto:tribut; ementa_objeto:economia; ementa_objeto:credito; ementa_proposicao:comercio; ementa_proposicao:tribut; ementa_proposicao:economia; ementa_proposicao:credito";"{""Ambiental e energetico"": [""ementa_objeto:clima"", ""ementa_objeto:residuo"", ""ementa_objeto:floresta"", ""ementa_proposicao:clima"", ""ementa_proposicao:residuo""], ""Institucional e juridico"": [""ementa_objeto:constitucional"", ""ementa_proposicao:constitucional""]}";105.00;67.50;37.50;"{""Ambiental e energetico"": 67.5, ""Economico"": 105.0, ""Institucional e juridico"": 30.0}";60f098e362ae99b2b698bd31cfa7cd428acdbe28a6b47fa63afeb8d646ce1939;57;57;PL 182/2024 (Nº Anterior: PL 2148/2015);"Parecer proferido em Plenário pelo relator, Dep. Aliel Machado (PV-PR), pela Comissão Especial, que conclui pela adequação financeira e orçamentária do Projeto de Lei nº 2.148/2015, principal, dos apensados e do Substitutivo; pela constitucionalidade, juridicidade e boa técnica do Projeto de Lei nº 2.148/2015, principal, dos apensados e do Substitutivo; e, no mérito, pela aprovação do Projeto de Lei nº 2.148/2015, principal, e dos Projetos de Lei nºs 7.578/2017, 5.710/2019, 528/2021, 4.290/20...";2026-06-10T15:07:12.935748+00:00
2023;1548579-114;Economico;"Ambiental e energetico; Institucional e juridico";3;true;alta;EIXOS_Q3_V1;q3_textual_v1;texto_ementa_objeto;"ementa_objeto; ementa_proposicao; descricao_votacao; titulo_objeto";"ementa_objeto:comercio; ementa_objeto:tribut; ementa_objeto:economia; ementa_objeto:credito; ementa_proposicao:comercio; ementa_proposicao:tribut; ementa_proposicao:economia; ementa_proposicao:credito";"{""Ambiental e energetico"": [""ementa_objeto:clima"", ""ementa_objeto:residuo"", ""ementa_objeto:floresta"", ""ementa_proposicao:clima"", ""ementa_proposicao:residuo""], ""Institucional e juridico"": [""ementa_objeto:constitucional"", ""ementa_proposicao:constitucional""]}";105.00;67.50;37.50;"{""Ambiental e energetico"": 67.5, ""Economico"": 105.0, ""Institucional e juridico"": 30.0}";6d46b3044d47f095acff3cbb090e30cdb47c5ed9658b69e5648281e6585d1e2f;63;63;PL 182/2024 (Nº Anterior: PL 2148/2015);"Parecer proferido em Plenário pelo relator, Dep. Aliel Machado (PV-PR), pela Comissão Especial, que conclui pela adequação financeira e orçamentária do Projeto de Lei nº 2.148/2015, principal, dos apensados e do Substitutivo; pela constitucionalidade, juridicidade e boa técnica do Projeto de Lei nº 2.148/2015, principal, dos apensados e do Substitutivo; e, no mérito, pela aprovação do Projeto de Lei nº 2.148/2015, principal, e dos Projetos de Lei nºs 7.578/2017, 5.710/2019, 528/2021, 4.290/20...";2026-06-10T15:07:12.935748+00:00
2023;1548579-122;Economico;"Ambiental e energetico; Institucional e juridico";3;true;alta;EIXOS_Q3_V1;q3_textual_v1;texto_ementa_objeto;"ementa_objeto; ementa_proposicao; descricao_votacao; titulo_objeto";"ementa_objeto:comercio; ementa_objeto:tribut; ementa_objeto:economia; ementa_objeto:credito; ementa_proposicao:comercio; ementa_proposicao:tribut; ementa_proposicao:economia; ementa_proposicao:credito";"{""Ambiental e energetico"": [""ementa_objeto:clima"", ""ementa_objeto:residuo"", ""ementa_objeto:floresta"", ""ementa_proposicao:clima"", ""ementa_proposicao:residuo""], ""Institucional e juridico"": [""ementa_objeto:constitucional"", ""ementa_proposicao:constitucional""]}";105.00;67.50;37.50;"{""Ambiental e energetico"": 67.5, ""Economico"": 105.0, ""Institucional e juridico"": 30.0}";25834638f6e08a7944abae92e3686888f0a8b0c58b6b80b1f5090f3208f53f7b;74;74;PL 182/2024 (Nº Anterior: PL 2148/2015);"Parecer proferido em Plenário pelo relator, Dep. Aliel Machado (PV-PR), pela Comissão Especial, que conclui pela adequação financeira e orçamentária do Projeto de Lei nº 2.148/2015, principal, dos apensados e do Substitutivo; pela constitucionalidade, juridicidade e boa técnica do Projeto de Lei nº 2.148/2015, principal, dos apensados e do Substitutivo; e, no mérito, pela aprovação do Projeto de Lei nº 2.148/2015, principal, e dos Projetos de Lei nºs 7.578/2017, 5.710/2019, 528/2021, 4.290/20...";2026-06-10T15:07:12.935748+00:00
2023;1548579-126;Economico;"Ambiental e energetico; Institucional e juridico";3;true;alta;EIXOS_Q3_V1;q3_textual_v1;texto_ementa_objeto;"ementa_objeto; ementa_proposicao; descricao_votacao; titulo_objeto";"ementa_objeto:comercio; ementa_objeto:tribut; ementa_objeto:economia; ementa_objeto:credito; ementa_proposicao:comercio; ementa_proposicao:tribut; ementa_proposicao:economia; ementa_proposicao:credito";"{""Ambiental e energetico"": [""ementa_objeto:clima"", ""ementa_objeto:residuo"", ""ementa_objeto:floresta"", ""ementa_proposicao:clima"", ""ementa_proposicao:residuo""], ""Institucional e juridico"": [""ementa_objeto:constitucional"", ""ementa_proposicao:constitucional""]}";105.00;67.50;37.50;"{""Ambiental e energetico"": 67.5, ""Economico"": 105.0, ""Institucional e juridico"": 30.0}";9e89b0d2fc06bc45f265afe3e2769f26f443a66c0807a0df11b70fa6695b87a0;75;75;PL 182/2024 (Nº Anterior: PL 2148/2015);"Parecer proferido em Plenário pelo relator, Dep. Aliel Machado (PV-PR), pela Comissão Especial, que conclui pela adequação financeira e orçamentária do Projeto de Lei nº 2.148/2015, principal, dos apensados e do Substitutivo; pela constitucionalidade, juridicidade e boa técnica do Projeto de Lei nº 2.148/2015, principal, dos apensados e do Substitutivo; e, no mérito, pela aprovação do Projeto de Lei nº 2.148/2015, principal, e dos Projetos de Lei nºs 7.578/2017, 5.710/2019, 528/2021, 4.290/20...";2026-06-10T15:07:12.935748+00:00
2023;1548579-144;Economico;"Ambiental e energetico; Institucional e juridico";3;true;alta;EIXOS_Q3_V1;q3_textual_v1;texto_ementa_objeto;"ementa_objeto; ementa_proposicao; descricao_votacao; titulo_objeto";"ementa_objeto:comercio; ementa_objeto:tribut; ementa_objeto:economia; ementa_objeto:credito; ementa_proposicao:comercio; ementa_proposicao:tribut; ementa_proposicao:economia; ementa_proposicao:credito";"{""Ambiental e energetico"": [""ementa_objeto:clima"", ""ementa_objeto:residuo"", ""ementa_objeto:floresta"", ""ementa_proposicao:clima"", ""ementa_proposicao:residuo""], ""Institucional e juridico"": [""ementa_objeto:constitucional"", ""ementa_proposicao:constitucional""]}";105.00;67.50;37.50;"{""Ambiental e energetico"": 67.5, ""Economico"": 105.0, ""Institucional e juridico"": 30.0}";94fac2c0942bccd3c55520b9ccb8d4c0409f94186e66bec0e90defc785a9d398;75;75;PL 182/2024 (Nº Anterior: PL 2148/2015);"Parecer proferido em Plenário pelo relator, Dep. Aliel Machado (PV-PR), pela Comissão Especial, que conclui pela adequação financeira e orçamentária do Projeto de Lei nº 2.148/2015, principal, dos apensados e do Substitutivo; pela constitucionalidade, juridicidade e boa técnica do Projeto de Lei nº 2.148/2015, principal, dos apensados e do Substitutivo; e, no mérito, pela aprovação do Projeto de Lei nº 2.148/2015, principal, e dos Projetos de Lei nºs 7.578/2017, 5.710/2019, 528/2021, 4.290/20...";2026-06-10T15:07:12.935748+00:00
2023;1555327-87;Infraestrutura e tecnologia;Institucional e juridico;2;true;baixa;EIXOS_Q3_V1;q3_textual_v1;texto_ementa_objeto;"ementa_objeto; ementa_proposicao; descricao_votacao; titulo_objeto";"ementa_objeto:transporte; ementa_proposicao:transporte";"{""Institucional e juridico"": [""ementa_objeto:constitucional"", ""ementa_proposicao:constitucional""]}";30.00;30.00;0.00;"{""Infraestrutura e tecnologia"": 30.0, ""Institucional e juridico"": 30.0}";a98850525c3872b1e693eca7299f90e4dc94b1a31de384d9f31194b106c5e99a;18;18;PL 2288/2015;"Altera a Lei nº 9.434, de 4 de fevereiro de 1997, que ""dispõe sobre a remoção de órgãos, tecidos e partes do corpo humano para fins de transplante e tratamento e dá outras providências"", para instituir a obrigatoriedade de priorização de espaço e de vaga para o transporte de órgãos, tecidos e partes do corpo humano para fins de transplante e tratamento.";2026-06-10T15:07:12.935748+00:00
