Q8 complementar - comunidades por similaridade de votos individuais
Pipeline: votos individuais -> matriz deputado x votacao -> Kappa ponderado entre pares -> grafo ponderado -> Leiden.
Codificacao: somente Sim = 1 e Nao = -1; Abstencao, Obstrucao, ausencia e Artigo 17 foram ignorados nesta rede.
Filtros: deputado >= 100 votos validos; par >= 100 votacoes em comum; cobertura >= 0.50; votacoes ponderadas por 4*p*(1-p), onde p e a proporcao de Sim; Kappa de Cohen ponderado >= 0.40.
Comunidades detectadas por Leiden, usando Kappa ponderado como peso no grafo.

Resumo executivo
deputados_com_votos_validos | votacoes_informativas | votacoes_na_matriz | votos_validos_codificados |                     pares_comparaveis | arestas_grafo | comunidades_detectadas | minimo_votos_validos_deputado | minimo_votacoes_comuns | cobertura_minima | peso_votacao | limiar_kappa | algoritmo_comunidades
----------------------------+-----------------------+--------------------+---------------------------+---------------------------------------+---------------+------------------------+-------------------------------+------------------------+------------------+--------------+--------------+----------------------
                        570 |                  1158 |               1158 |                    433760 | calculado_com_filtros_100_e_cobertura |         67992 |                      3 |                           100 |                    100 |           0.5000 |    4*p*(1-p) |       0.4000 |                Leiden
(1 rows)

Tabela principal - comunidades de comportamento de voto
comunidade | qtd_deputados | kappa_medio_interno | similaridade_media_interna | grau_ponderado_medio | media_votacoes_validas |                                                                                                       partidos_presentes |                                                                                                                                                                                                                                          deputados_exemplo
-----------+---------------+---------------------+----------------------------+----------------------+------------------------+--------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         1 |           253 |              0.6501 |                     0.6501 |             179.3163 |               724.3900 |                       AVANTE, CIDADANIA, MDB, PDT, PL, PODE, PP, PRD, PSB, PSD, PSDB, REPUBLICANOS, SOLIDARIEDADE, UNIAO | AJ Albuquerque, Acácio Favacho, Adail Filho, Adolfo Viana, Adriano do Baldy, Afonso Motta, Aguinaldo Ribeiro, Alberto Mourão, Albuquerque, Alex Manente, Alex Santana, Alexandre Guimarães, Alexandre Leite, Aline Gurgel, Aluisio Mendes, Amanda Gentil, 
         2 |           160 |              0.6855 |                     0.6855 |              86.5025 |               771.6000 |                                          AVANTE, CIDADANIA, MDB, NOVO, PL, PODE, PP, PRD, PSD, PSDB, REPUBLICANOS, UNIAO | Abilio Brunini, Adilson Barroso, Adriana Ventura, Afonso Hamm, Alberto Fraga, Alceu Moreira, Alfredo Gaspar, Allan Garcês, Altineu Côrtes, Amália Barros, Ana Paula Leão, André Fernandes, André Ferreira, Any Ortiz, Bia Kicis, Bibo Nunes, Cabo Gilberto
         3 |           157 |              0.7719 |                     0.7719 |             177.8137 |               809.1300 | AVANTE, CIDADANIA, MDB, PCDOB, PDT, PL, PODE, PP, PSB, PSD, PSDB, PSOL, PT, PV, REDE, REPUBLICANOS, SOLIDARIEDADE, UNIAO | Airton Faleiro, Alencar Santana, Alexandre Lindenmeyer, Alfredinho, Alice Portugal, Aliel Machado, Amom Mandel, Ana Paula Lima, Ana Pimentel, André Figueiredo, André Janones, Arlindo Chinaglia, Bacelar, Bandeira de Mello, Benedita da Silva, Bohn Gass
(3 rows)

Tabela extra - deputados por comunidade
comunidade | id_deputado |                                nome | sigla_partido | sigla_uf | votacoes_validas | qtd_conexoes | grau_ponderado
-----------+-------------+-------------------------------------+---------------+----------+------------------+--------------+---------------
         1 |      220581 |                      Luciano Amaral |           PSD |       AL |              990 |          381 |       255.1484
         1 |      204431 |              Marcos Aurélio Sampaio |           PSD |       PI |              886 |          374 |       252.8404
         1 |       91228 |                   Waldemar Oliveira |        AVANTE |       PE |             1087 |          374 |       252.4652
         1 |      220708 |                       Gabriel Nunes |           PSD |       BA |             1033 |          380 |       251.1778
         1 |      220703 |                       Neto Carletto |        AVANTE |       BA |              939 |          372 |       250.0595
         1 |      220584 |                      Murilo Galdino |  REPUBLICANOS |       PB |              897 |          376 |       249.7838
         1 |      121948 |                    Adriano do Baldy |            PP |       GO |              977 |          375 |       249.2329
         1 |      220670 |                          Iza Arruda |           MDB |       PE |              844 |          379 |       247.6053
         1 |      160629 |                    Romero Rodrigues |          PODE |       PB |             1002 |          375 |       246.9124
         1 |      204549 |                      AJ Albuquerque |            PP |       CE |              765 |          366 |       245.4447
         1 |      220691 |                       Diego Coronel |           PSD |       BA |              981 |          374 |       244.7844
         1 |      178997 |                     Moses Rodrigues |         UNIAO |       CE |              852 |          371 |       244.2651
         1 |       74574 |                     Paulo Magalhães |           PSD |       BA |              957 |          370 |       243.8059
         1 |       74317 |                         Júlio Cesar |           PSD |       PI |              783 |          367 |       243.3729
         1 |      160665 |                    Augusto Coutinho |  REPUBLICANOS |       PE |              965 |          376 |       242.8840
         1 |      141487 |                 Luiz Fernando Faria |           PSD |       MG |              855 |          370 |       242.8534
         1 |      160632 |                            Zé Silva | SOLIDARIEDADE |       MG |              809 |          374 |       242.7809
         1 |      220694 |                        Ricardo Maia |           MDB |       BA |              887 |          370 |       242.2561
         1 |      178934 |                  Toninho Wandscheer |            PP |       PR |              959 |          373 |       242.0912
         1 |      220687 |                     Márcio Honaiser |           PDT |       MA |              796 |          375 |       241.8372
         1 |      220699 |                         Castro Neto |           MDB |       PI |              885 |          365 |       241.3038
         1 |      204508 |                           Igor Timo |           PSD |       MG |              910 |          371 |       240.9595
         1 |      141408 |                        Cleber Verde |           MDB |       MA |              959 |          372 |       240.8566
         1 |      123086 |                          Átila Lira |            PP |       PI |              950 |          372 |       240.7903
         1 |      141480 |                      Lázaro Botelho |            PP |       TO |              714 |          351 |       240.5032
         1 |      160527 |                   Aguinaldo Ribeiro |            PP |       PB |              618 |          360 |       240.2186
         1 |      220612 |                              Bebeto |            PP |       RJ |             1078 |          370 |       240.0516
         1 |      160161 |                     Marcelo Queiroz |          PSDB |       RJ |              779 |          363 |       239.5869
         1 |      220707 |                       Amanda Gentil |            PP |       MA |              673 |          363 |       239.0785
         1 |      141431 |               Fernando Coelho Filho |         UNIAO |       PE |              806 |          360 |       239.0102
         1 |       74253 |                         Julio Lopes |            PP |       RJ |              751 |          362 |       237.7160
         1 |       92699 |                   Fernando Monteiro |           PSD |       PE |              866 |          371 |       237.5851
         1 |      204408 |                    Gustinho Ribeiro |  REPUBLICANOS |       SE |              933 |          364 |       237.0356
         1 |      178835 |                        Afonso Motta |           PDT |       RS |              961 |          376 |       236.4640
         1 |      205476 |                   Charles Fernandes |           PSD |       BA |              878 |          371 |       236.1114
         1 |      220677 |                      Keniston Braga |           MDB |       PA |              848 |          370 |       236.0379
         1 |      220669 |                       Lula da Fonte |            PP |       PE |              852 |          371 |       235.8486
         1 |      220592 |                     Zezinho Barbary |            PP |       AC |              843 |          367 |       235.4630
         1 |      220622 |                         Nely Aquino |          PODE |       MG |              828 |          370 |       235.3511
         1 |      160666 |               Félix Mendonça Júnior |           PDT |       BA |              960 |          377 |       234.7527
         1 |      178858 |                Mário Negromonte Jr. |            PP |       BA |              860 |          367 |       234.7468
         1 |      220577 |                      Augusto Puppio |           MDB |       AP |              660 |          348 |       234.7221
         1 |      220676 |                    Andreia Siqueira |           MDB |       PA |              797 |          367 |       233.9573
         1 |      220539 |               Defensor Stélio Dener |  REPUBLICANOS |       RR |             1049 |          372 |       233.1451
         1 |      153423 |                   Renilce Nicodemos |           MDB |       PA |              658 |          360 |       232.7335
         1 |      220543 |                       Ricardo Ayres |  REPUBLICANOS |       TO |             1112 |          370 |       232.5335
