Q9 v2.4 - Tendencia de voto observada do deputado

Q9 v2.4 - Vies estimado por deputado
id_deputado | nome                                | partido       | ideologia_partido | votos_validos | alinhamento_esquerda | alinhamento_centro | alinhamento_direita | vies_estimado       
------------+-------------------------------------+---------------+-------------------+---------------+----------------------+--------------------+---------------------+---------------------
220588      | Roberto Duarte                      | REPUBLICANOS  | direita           | 1317          | 49.1                 | 73.9               | 77.6                | direita             
74041       | Luiz Couto                          | PT            | esquerda          | 1315          | 99.2                 | 72.9               | 39.6                | esquerda            
220543      | Ricardo Ayres                       | REPUBLICANOS  | direita           | 1255          | 74.3                 | 94.0               | 66.0                | centro              
178873      | Helder Salomão                      | PT            | esquerda          | 1200          | 98.8                 | 73.8               | 39.4                | esquerda            
91228       | Waldemar Oliveira                   | AVANTE        | centro            | 1196          | 83.4                 | 89.7               | 56.5                | centro              
204512      | Delegado Marcelo Freitas            | UNIAO         | centro            | 1183          | 64.5                 | 89.0               | 69.7                | centro              
160575      | Erika Kokay                         | PT            | esquerda          | 1174          | 96.6                 | 72.5               | 40.5                | esquerda            
191923      | Flávio Nogueira                     | PT            | esquerda          | 1170          | 97.9                 | 77.2               | 42.5                | esquerda            
220654      | Delegado Paulo Bilynskyj            | PL            | direita           | 1168          | 20.1                 | 46.9               | 82.2                | direita             
74171       | Chico Alencar                       | PSOL          | esquerda          | 1165          | 85.6                 | 63.2               | 37.4                | esquerda            
204404      | Lucas Redecker                      | PSDB          | centro            | 1150          | 37.9                 | 59.6               | 76.2                | direita             
226179      | Gisela Simona                       | UNIAO         | centro            | 1144          | 62.4                 | 82.3               | 68.0                | centro              
220547      | Marcos Pollon                       | PL            | direita           | 1139          | 19.8                 | 49.8               | 84.1                | direita             
178887      | Rubens Pereira Júnior               | PT            | esquerda          | 1139          | 98.8                 | 76.7               | 42.9                | esquerda            
69871       | Bacelar                             | PV            | esquerda          | 1125          | 98.2                 | 75.7               | 42.9                | esquerda            
220598      | Tarcísio Motta                      | PSOL          | esquerda          | 1125          | 85.3                 | 65.3               | 38.8                | esquerda            
220529      | Gilson Daniel                       | PODE          | centro            | 1124          | 85.0                 | 86.7               | 55.4                | centro              
220583      | Delegado Fabio Costa                | PP            | direita           | 1111          | 36.0                 | 59.4               | 82.4                | direita             
74160       | Patrus Ananias                      | PT            | esquerda          | 1106          | 98.5                 | 73.2               | 39.8                | esquerda            
188097      | Merlong Solano                      | PT            | esquerda          | 1104          | 98.6                 | 80.5               | 46.5                | esquerda            
204501      | Alencar Santana                     | PT            | esquerda          | 1101          | 97.7                 | 75.9               | 41.2                | esquerda            
73801       | Renildo Calheiros                   | PCDOB         | esquerda          | 1100          | 97.4                 | 76.0               | 43.1                | esquerda            
220612      | Bebeto                              | PP            | direita           | 1097          | 78.8                 | 94.9               | 65.6                | centro              
220615      | Pastor Henrique Vieira              | PSOL          | esquerda          | 1094          | 86.3                 | 63.8               | 36.0                | esquerda            
74057       | Alice Portugal                      | PCDOB         | esquerda          | 1093          | 98.0                 | 76.9               | 44.0                | esquerda            
220576      | Alfredo Gaspar                      | UNIAO         | centro            | 1091          | 28.1                 | 51.1               | 77.7                | direita             
204365      | Gilson Marques                      | NOVO          | direita           | 1087          | 18.4                 | 38.9               | 73.6                | direita             
123086      | Átila Lira                          | PP            | direita           | 1083          | 78.3                 | 94.4               | 64.9                | centro              
220578      | Josenildo                           | PDT           | esquerda          | 1081          | 89.1                 | 85.7               | 53.7                | esquerda            
109429      | Benes Leocádio                      | UNIAO         | centro            | 1078          | 74.4                 | 95.7               | 67.5                | centro              
204394      | Gervásio Maia                       | PSB           | esquerda          | 1076          | 94.2                 | 82.0               | 47.0                | esquerda            
74856       | Laura Carneiro                      | PSD           | centro            | 1067          | 88.8                 | 87.1               | 53.4                | esquerda            
220701      | Delegado Matheus Laiola             | UNIAO         | centro            | 1066          | 79.1                 | 91.5               | 62.3                | centro              
220652      | Delegado Palumbo                    | MDB           | centro            | 1063          | 25.1                 | 43.0               | 73.7                | direita             
178986      | Nilto Tatto                         | PT            | esquerda          | 1063          | 98.3                 | 78.5               | 44.9                | esquerda            
220666      | Coronel Meira                       | PL            | direita           | 1062          | 27.3                 | 51.9               | 86.4                | direita             
220539      | Defensor Stélio Dener               | REPUBLICANOS  | direita           | 1062          | 78.8                 | 90.6               | 62.6                | centro              
221148      | Alfredinho                          | PT            | esquerda          | 1059          | 98.7                 | 79.9               | 47.0                | esquerda            
204426      | Carlos Veras                        | PT            | esquerda          | 1058          | 99.1                 | 76.5               | 44.0                | esquerda            
220527      | Jack Rocha                          | PT            | esquerda          | 1058          | 99.0                 | 78.6               | 44.6                | esquerda            
74848       | Jandira Feghali                     | PCDOB         | esquerda          | 1058          | 97.7                 | 77.8               | 44.4                | esquerda            
220561      | Delegada Katarina                   | PSD           | centro            | 1051          | 80.0                 | 91.0               | 61.8                | centro              
74084       | Raimundo Santos                     | PSD           | centro            | 1049          | 59.2                 | 77.9               | 76.7                | centro              
220574      | Cabo Gilberto Silva                 | PL            | direita           | 1048          | 23.0                 | 46.1               | 80.8                | direita             
220683      | Beto Richa                          | PSDB          | centro            | 1047          | 73.4                 | 90.3               | 63.5                | centro              
220708      | Gabriel Nunes                       | PSD           | centro            | 1046          | 86.4                 | 92.1               | 58.7                | centro              
204387      | Sargento Fahur                      | PSD           | centro            | 1046          | 20.7                 | 41.1               | 74.0                | direita             
73768       | Dilceu Sperafico                    | PP            | direita           | 1041          | 63.1                 | 83.3               | 75.4                | centro              
220536      | Zé Haroldo Cathedral                | PSD           | centro            | 1040          | 79.7                 | 89.6               | 60.4                | centro              
220571      | Daniel Agrobom                      | PL            | direita           | 1039          | 44.9                 | 64.1               | 85.2                | direita             
178934      | Toninho Wandscheer                  | PP            | direita           | 1036          | 76.4                 | 95.0               | 65.3                | centro              
220550      | Mauricio Marcon                     | PODE          | centro            | 1035          | 21.5                 | 48.0               | 80.1                | direita             
98148       | Cobalchini                          | MDB           | centro            | 1034          | 52.8                 | 74.4               | 79.0                | direita             
204553      | Pastor Sargento Isidório            | AVANTE        | centro            | 1033          | 89.7                 | 84.4               | 54.2                | esquerda            
220667      | Pedro Campos                        | PSB           | esquerda          | 1033          | 95.4                 | 77.9               | 46.9                | esquerda            
178835      | Afonso Motta                        | PDT           | esquerda          | 1032          | 85.4                 | 88.3               | 55.3                | centro              
220668      | Maria Arraes                        | SOLIDARIEDADE | centro            | 1032          | 96.3                 | 78.7               | 44.1                | esquerda            
204374      | Bia Kicis                           | PL            | direita           | 1031          | 22.6                 | 51.9               | 84.0                | direita             
74858       | Lindbergh Farias                    | PT            | esquerda          | 1031          | 98.6                 | 75.9               | 42.7                | esquerda            
204534      | Tabata Amaral                       | PSB           | esquerda          | 1031          | 84.6                 | 68.9               | 46.2                | esquerda            
220595      | Coronel Fernanda                    | PL            | direita           | 1029          | 27.6                 | 56.9               | 90.3                | direita             
160556      | Padre João                          | PT            | esquerda          | 1028          | 99.6                 | 79.1               | 44.5                | esquerda            
220635      | Bruno Ganem                         | PODE          | centro            | 1027          | 77.6                 | 88.2               | 61.2                | centro              
204369      | Caroline de Toni                    | PL            | direita           | 1026          | 18.7                 | 46.1               | 79.1                | direita             
220546      | Rodolfo Nogueira                    | PL            | direita           | 1026          | 21.3                 | 45.6               | 82.3                | direita             
