Q9 v2.3 - Lista de propostas/votacoes

Q9 v2.3 - Propostas disponiveis
ano  | id_votacao  | proposicao                                             | sim | nao | outros | total
-----+-------------+--------------------------------------------------------+-----+-----+--------+------
2026 | 2500080-320 | EMC 3 PEC01825 => PEC 18/2025                          | 487 | 15  | 1      | 503  
2026 | 2233802-424 | REQ 471/2026                                           | 471 | 22  | 1      | 494  
2026 | 2351506-104 | REQ 742/2023                                           | 385 | 93  | 8      | 486  
2026 | 2162116-169 | REQ 2741/2019                                          | 464 | 16  |        | 480  
2026 | 2233802-438 | REQ 471/2026                                           | 460 | 19  |        | 479  
2026 | 2500080-330 | EMC 3 PEC01825 => PEC 18/2025                          | 461 | 14  |        | 475  
2026 | 2233802-416 | REQ 471/2026                                           | 371 | 101 | 1      | 473  
2026 | 2351506-102 | REQ 742/2023                                           | 466 | 4   | 2      | 472  
2026 | 2351506-122 | REQ 742/2023                                           | 367 | 96  | 8      | 471  
2026 | 2579791-17  | REQ 4612/2025                                          | 276 | 186 | 1      | 463  
2026 | 2351506-112 | REQ 742/2023                                           | 341 | 113 | 6      | 460  
2026 | 2351506-115 | REQ 742/2023                                           | 334 | 117 | 6      | 457  
2026 | 2351506-108 | REQ 742/2023                                           | 339 | 110 | 8      | 457  
2026 | 2162116-178 | REQ 2741/2019                                          | 444 | 12  |        | 456  
2026 | 2629954-8   | REQ 3336/2026                                          | 309 | 135 | 9      | 453  
2026 | 2543171-49  | REQ 3528/2025                                          | 340 | 108 | 1      | 449  
2026 | 2557414-32  | ERD 1 => MPV 1313/2025                                 | 415 | 29  | 3      | 447  
2026 | 2162116-161 | REQ 2741/2019                                          | 36  | 409 | 1      | 446  
2026 | 2603342-42  | REQ 1090/2026                                          | 307 | 136 | 2      | 445  
2026 | 2447983-57  | REQ 2736/2026                                          | 442 | 2   | 1      | 445  
2026 | 2447259-99  | REQ 3764/2025                                          | 343 | 97  | 2      | 442  
2026 | 2605243-12  | (sem proposicao vinculada)                             | 317 | 123 | 1      | 441  
2026 | 2191208-67  | REQ 2838/2019                                          | 436 | 3   | 1      | 440  
2026 | 2593781-8   | REQ 5540/2025                                          | 380 | 57  | 1      | 438  
2026 | 2605090-8   | REQ 1159/2026                                          | 290 | 147 |        | 437  
2026 | 2557414-41  | ERD 1 => MPV 1313/2025                                 | 401 | 34  | 1      | 436  
2026 | 2618104-8   | (sem proposicao vinculada)                             | 330 | 104 | 1      | 435  
2026 | 2485383-7   | (sem proposicao vinculada)                             | 317 | 117 | 1      | 435  
2026 | 2578879-27  | REQ 4635/2025                                          | 157 | 272 | 4      | 433  
2026 | 2601522-8   | REQ 309/2026                                           | 298 | 132 | 1      | 431  
2026 | 2398003-10  | REQ 3624/2023                                          | 430 |     | 1      | 431  
2026 | 2604383-7   | REQ 1090/2026                                          | 308 | 120 | 1      | 429  
2026 | 2462009-57  | REQ 740/2026                                           | 116 | 311 | 2      | 429  
2026 | 2613731-29  | PRLP 1 => PL 1625/2026                                 | 115 | 312 |        | 427  
2026 | 2611717-33  | REQ 1635/2026                                          | 391 | 33  | 2      | 426  
2026 | 2626432-8   | (sem proposicao vinculada)                             | 357 | 68  |        | 425  
2026 | 2601990-42  | REQ 2406/2026                                          | 421 | 3   | 1      | 425  
2026 | 2351506-95  | REQ 742/2023                                           | 102 | 321 | 2      | 425  
2026 | 2600122-8   | REQ 50/2026                                            | 307 | 113 | 4      | 424  
2026 | 2581785-8   | REQ 4686/2025                                          | 343 | 78  | 1      | 422  
2026 | 2562173-21  | RPD 1 => MPV 1317/2025                                 | 126 | 296 |        | 422  
2026 | 2462009-60  | REQ 740/2026                                           | 125 | 297 |        | 422  
2026 | 2449741-72  | REQ 1337/2026                                          | 408 | 13  | 1      | 422  
2026 | 2606970-8   | REQ 1285/2026                                          | 399 | 19  | 1      | 419  
2026 | 2418774-66  | REQ 4691/2025                                          | 417 | 1   | 1      | 419  
2026 | 2596339-8   | REQ 5788/2025                                          | 304 | 113 | 1      | 418  
2026 | 2487399-57  | REQ 1579/2026                                          | 295 | 120 | 1      | 416  
2026 | 2578879-38  | REQ 4635/2025                                          | 248 | 164 | 3      | 415  
2026 | 2234260-164 | REQ 2588/2021                                          | 252 | 161 | 1      | 414  
2026 | 2565804-8   | (sem proposicao vinculada)                             | 284 | 127 | 2      | 413  
2026 | 2607727-7   | (sem proposicao vinculada)                             | 279 | 131 | 2      | 412  
2026 | 2610645-5   | REC 6/2026                                             | 152 | 254 | 1      | 407  
2026 | 589982-124  | REQ 8557/2013 => PL 6240/2013                          | 194 | 207 | 5      | 406  
2026 | 2462004-30  | RPD 1 => PL 3879/2024                                  | 96  | 305 | 4      | 405  
2026 | 2607960-9   | REQ 1376/2026                                          | 316 | 86  | 2      | 404  
2026 | 2543171-41  | REQ 3528/2025                                          | 102 | 301 | 1      | 404  
2026 | 2617164-10  | REC 7/2026                                             | 154 | 245 | 4      | 403  
2026 | 2422887-23  | RPD 1 => REC 5/2024                                    | 126 | 274 | 3      | 403  
2026 | 2604314-28  | REQ 1134/2026                                          | 60  | 337 | 2      | 399  
2026 | 2595984-34  | REQ 1066/2026                                          | 258 | 140 | 1      | 399  
2026 | 2613731-47  | PRLP 1 => PL 1625/2026                                 | 196 | 200 | 2      | 398  
2026 | 2601794-5   | REC 2/2026                                             | 151 | 244 | 3      | 398  
2026 | 2600277-9   | (sem proposicao vinculada)                             | 277 | 119 | 2      | 398  
2026 | 2589628-8   | REQ 5220/2025                                          | 286 | 111 | 1      | 398  
2026 | 2562173-30  | RPD 1 => MPV 1317/2025                                 | 271 | 127 |        | 398  
2026 | 2625979-8   | REQ 2976/2026                                          | 268 | 125 | 3      | 396  
2026 | 2419128-78  | REQ 1159/2026                                          | 127 | 268 | 1      | 396  
2026 | 589982-103  | REQ 8557/2013 => PL 6240/2013                          | 100 | 295 |        | 395  
2026 | 2595984-22  | REQ 1066/2026                                          | 137 | 257 | 1      | 395  
2026 | 2376169-101 | REQ 2780/2023                                          | 278 | 114 | 3      | 395  
2026 | 2368697-38  | REQ 2122/2023                                          | 117 | 278 |        | 395  
2026 | 2591974-26  | REQ 96/2026                                            | 147 | 242 | 1      | 390  
2026 | 2368697-43  | REQ 2122/2023                                          | 120 | 270 |        | 390  
2026 | 2601040-23  | REQ 309/2026                                           | 87  | 301 | 1      | 389  
2026 | 2595984-26  | REQ 1066/2026                                          | 126 | 262 |        | 388  
2026 | 2162116-181 | REQ 2741/2019                                          | 386 | 1   | 1      | 388  
2026 | 2578879-31  | REQ 4635/2025                                          | 148 | 237 | 2      | 387  
2026 | 2578968-7   | REQ 4565/2025                                          | 355 | 29  | 1      | 385  
2026 | 2557414-24  | ERD 1 => MPV 1313/2025                                 | 22  | 362 | 1      | 385  
2026 | 2462009-79  | REQ 740/2026                                           | 232 | 151 | 2      | 385  
2026 | 589982-126  | REQ 8557/2013 => PL 6240/2013                          | 258 | 119 | 7      | 384  
2026 | 2503998-75  | REQ 2092/2025                                          | 381 | 2   | 1      | 384  
2026 | 2608575-64  | REQ 1405/2026                                          | 342 | 39  | 1      | 382  
2026 | 2595984-31  | REQ 1066/2026                                          | 124 | 257 | 1      | 382  
2026 | 2601040-31  | REQ 309/2026                                           | 317 | 61  | 3      | 381  
2026 | 2600278-9   | REQ 96/2026                                            | 273 | 103 | 2      | 378  
2026 | 2563330-59  | REQ 4201/2025                                          | 97  | 258 | 21     | 376  
2026 | 2433663-44  | PRLP 1 => PL 1822/2024                                 | 99  | 276 | 1      | 376  
2026 | 2611717-38  | REQ 1635/2026                                          | 284 | 86  | 4      | 374  
2026 | 2596663-47  | REQ 1304/2026                                          | 213 | 152 | 4      | 369  
2026 | 2581700-31  | DTQ 1 => MPV 1323/2025                                 | 268 | 99  | 1      | 368  
2026 | 2503998-70  | REQ 2092/2025                                          | 60  | 306 | 1      | 367  
2026 | 2613731-65  | PRLP 1 => PL 1625/2026                                 | 181 | 182 | 2      | 365  
2026 | 589982-129  | REQ 8557/2013 => PL 6240/2013                          | 235 | 121 | 8      | 364  
2026 | 2503833-43  | REQ 1155/2026                                          | 44  | 318 | 1      | 363  
2026 | 2368697-49  | REQ 2122/2023                                          | 119 | 241 | 1      | 361  
2026 | 2601223-8   | REQ 284/2026                                           | 337 | 19  | 1      | 357  
2026 | 2572994-8   | (sem proposicao vinculada)                             | 315 | 38  | 1      | 354  
2026 | 2600838-46  | REQ 226/2026                                           | 105 | 232 | 1      | 338  
2026 | 2469569-38  | PRLP 1 => PL 4397/2024                                 | 300 | 36  | 2      | 338  
2026 | 2600708-7   | REQ 176/2026                                           | 305 | 22  | 1      | 328  
2026 | 2586587-30  | REQ 5011/2025                                          | 94  | 227 |        | 321  
2026 | 2562289-8   | (sem proposicao vinculada)                             | 272 | 18  | 1      | 291  
2026 | 2467936-42  | PRL 1 CCJC => PL 4322/2024                             | 21  | 33  | 1      | 55   
2026 | 2348972-48  | PRL 1 CCJC => PL 580/2023                              | 28  | 23  |        | 51   
2025 | 2487436-169 | REQ 1087/2025                                          | 493 |     | 1      | 494  
2025 | 2270800-135 | REQ 271/2021                                           | 353 | 134 | 1      | 488  
2025 | 2579832-62  | REQ 4666/2025                                          | 370 | 110 | 4      | 484  
2025 | 2562149-7   | (sem proposicao vinculada)                             | 311 | 163 | 8      | 482  
2025 | 2515648-44  | REQ 2398/2025                                          | 383 | 98  | 1      | 482  
