Q9 Vies Final - Score ideologico por votos divisivos

Q9 Vies Final - Score por votos divisivos
id_deputado | nome                                | partido       | ideologia_partido | sigla_uf | votos_em_polarizadas | votos_com_esquerda | votos_com_direita | pct_com_esquerda | pct_com_direita | score_vies | vies_final       | metodo       
------------+-------------------------------------+---------------+-------------------+----------+----------------------+--------------------+-------------------+------------------+-----------------+------------+------------------+--------------
220605      | Bandeira de Mello                   | PV            | esquerda          | RJ       | 27                   | 27                 | 0                 | 100.0            | 0.0             | 0.0        | esquerda         | comportamento
229106      | Carla Ayres                         | PT            | esquerda          | SC       | 34                   | 34                 | 0                 | 100.0            | 0.0             | 0.0        | esquerda         | comportamento
204476      | Chiquinho Brazão                    | S.PART.       | nao classificado  | RJ       | 1                    | 1                  | 0                 | 100.0            | 0.0             | 0.0        | nao classificado | partido      
227800      | Duarte Gonçalves Jr                 | PODE          | centro            | MG       | 3                    | 3                  | 0                 | 100.0            | 0.0             | 0.0        | centro           | partido      
229585      | Elisangela Araujo                   | PT            | esquerda          | BA       | 60                   | 60                 | 0                 | 100.0            | 0.0             | 0.0        | esquerda         | comportamento
235620      | Ilacir Bicalho                      | PODE          | centro            | MG       | 1                    | 1                  | 0                 | 100.0            | 0.0             | 0.0        | centro           | partido      
230764      | Ivan Junior                         | UNIAO         | centro            | MA       | 1                    | 1                  | 0                 | 100.0            | 0.0             | 0.0        | centro           | partido      
230764      | Ivan Júnior                         | UNIAO         | centro            | MA       | 16                   | 16                 | 0                 | 100.0            | 0.0             | 0.0        | esquerda         | comportamento
231911      | Lenir de Assis                      | PT            | esquerda          | PR       | 312                  | 312                | 0                 | 100.0            | 0.0             | 0.0        | esquerda         | comportamento
74478       | Luciano Bivar                       | MDB           | centro            | PE       | 21                   | 21                 | 0                 | 100.0            | 0.0             | 0.0        | esquerda         | comportamento
229082      | Lucyana Genésio                     | PDT           | esquerda          | MA       | 22                   | 22                 | 0                 | 100.0            | 0.0             | 0.0        | esquerda         | comportamento
204433      | Marcelo Calero                      | PSD           | centro            | RJ       | 10                   | 10                 | 0                 | 100.0            | 0.0             | 0.0        | esquerda         | comportamento
220607      | Max Lemos                           | PROS          | nao classificado  | RJ       | 1                    | 1                  | 0                 | 100.0            | 0.0             | 0.0        | nao classificado | partido      
233592      | Paulo Lemos                         | PT            | esquerda          | AP       | 23                   | 23                 | 0                 | 100.0            | 0.0             | 0.0        | esquerda         | comportamento
141488      | Paulo Teixeira                      | PT            | esquerda          | SP       | 26                   | 26                 | 0                 | 100.0            | 0.0             | 0.0        | esquerda         | comportamento
229259      | Pedro Tourinho                      | PT            | esquerda          | SP       | 37                   | 37                 | 0                 | 100.0            | 0.0             | 0.0        | esquerda         | comportamento
157130      | Túlio Gadêlha                       | PSD           | centro            | PE       | 29                   | 29                 | 0                 | 100.0            | 0.0             | 0.0        | esquerda         | comportamento
160518      | Weliton Prado                       | PROS          | nao classificado  | MG       | 1                    | 1                  | 0                 | 100.0            | 0.0             | 0.0        | nao classificado | partido      
220704      | Carol Dartora                       | PT            | esquerda          | PR       | 455                  | 454                | 1                 | 99.8             | 0.2             | 0.2        | esquerda         | comportamento
204445      | Fernando Mineiro                    | PT            | esquerda          | RN       | 605                  | 603                | 2                 | 99.7             | 0.3             | 0.3        | esquerda         | comportamento
171617      | Paulão                              | PT            | esquerda          | AL       | 620                  | 618                | 2                 | 99.7             | 0.3             | 0.3        | esquerda         | comportamento
178873      | Helder Salomão                      | PT            | esquerda          | ES       | 833                  | 830                | 3                 | 99.6             | 0.4             | 0.4        | esquerda         | comportamento
220527      | Jack Rocha                          | PT            | esquerda          | ES       | 692                  | 689                | 3                 | 99.6             | 0.4             | 0.4        | esquerda         | comportamento
160556      | Padre João                          | PT            | esquerda          | MG       | 678                  | 675                | 3                 | 99.6             | 0.4             | 0.4        | esquerda         | comportamento
204495      | Airton Faleiro                      | PT            | esquerda          | PA       | 612                  | 609                | 3                 | 99.5             | 0.5             | 0.5        | esquerda         | comportamento
73701       | Benedita da Silva                   | PT            | esquerda          | RJ       | 590                  | 587                | 3                 | 99.5             | 0.5             | 0.5        | esquerda         | comportamento
88256       | Clodoaldo Magalhães                 | PV            | esquerda          | PE       | 605                  | 602                | 3                 | 99.5             | 0.5             | 0.5        | esquerda         | comportamento
