Q2 complemento - tema mais atuante por deputado no periodo 2023-2026
Tema mais atuante por deputado - consolidado
id_deputado |                                nome |                           tema_mais_atuante | qtd_proposicoes | proposicoes_aprovadas
------------+-------------------------------------+---------------------------------------------+-----------------+----------------------
     220715 |                         Amom Mandel |                       Administração Pública |             308 |                     0
      74084 |                     Raimundo Santos |                 Direitos Humanos e Minorias |             232 |                     1
      74356 |                        Silas Câmara |                                Comunicações |             168 |                     0
     204528 |                     Adriana Ventura |                       Administração Pública |             162 |                     0
     220604 |                      Marcos Tavares |                                       Saúde |             128 |                     0
     156190 |                   Marcel van Hattem |                       Administração Pública |             106 |                     0
     204365 |                      Gilson Marques |                       Administração Pública |             105 |                     0
     220713 |                       Saullo Vianna |                          Defesa e Segurança |              73 |                     0
     204572 |                Capitão Alberto Neto |                       Administração Pública |              68 |                     0
     178947 |                 Sóstenes Cavalcante |                    Arte, Cultura e Religião |              66 |                     0
      74856 |                      Laura Carneiro |                 Direitos Humanos e Minorias |              55 |                     7
     220547 |                       Marcos Pollon |                          Defesa e Segurança |              55 |                     0
     220695 |                      Rogéria Santos |                 Direitos Humanos e Minorias |              50 |                     2
     220701 |             Delegado Matheus Laiola | Meio Ambiente e Desenvolvimento Sustentável |              45 |                     0
      73579 |                       Alberto Fraga |                          Defesa e Segurança |              44 |                     0
     204462 |                      Chris Tonietto |                 Direitos Humanos e Minorias |              44 |                     0
     220574 |                 Cabo Gilberto Silva |                          Defesa e Segurança |              42 |                     0
     178871 |                Evair Vieira de Melo |                       Administração Pública |              42 |                     0
     220673 |                    Delegado Caveira |                       Administração Pública |              40 |                     0
     220673 |                    Delegado Caveira |               Finanças Públicas e Orçamento |              40 |                     0
     204536 |                       Kim Kataguiri |                       Administração Pública |              40 |                     0
     220618 |                   Sargento Portugal |                          Defesa e Segurança |              40 |                     0
     220550 |                     Mauricio Marcon |                       Administração Pública |              38 |                     0
     220654 |            Delegado Paulo Bilynskyj |                          Defesa e Segurança |              37 |                     0
     160548 |                     Jonas Donizette |                 Direitos Humanos e Minorias |              36 |                     1
     204526 | Luiz Philippe de Orleans e Bragança |                       Administração Pública |              36 |                     0
     204534 |                       Tabata Amaral |                 Direitos Humanos e Minorias |              34 |                     1
     204455 |                           Luiz Lima |                       Administração Pública |              33 |                     0
     220576 |                      Alfredo Gaspar |                          Defesa e Segurança |              32 |                     0
     220568 |                       Gustavo Gayer |                       Administração Pública |              32 |                     0
     204472 |                       José Medeiros |               Finanças Públicas e Orçamento |              32 |                     0
      89536 |                Prof. Paulo Fernando |                 Direitos Humanos e Minorias |              31 |                     1
     220663 |                   Eriberto Medeiros |                          Defesa e Segurança |              31 |                     0
     220530 |                      Messias Donato |                 Direitos Humanos e Minorias |              30 |                     1
     178829 |                     Capitão Augusto |                          Defesa e Segurança |              30 |                     0
     220583 |                Delegado Fabio Costa |                          Defesa e Segurança |              30 |                     0
     220645 |                        Erika Hilton |                 Direitos Humanos e Minorias |              29 |                     1
     220644 |                      Rosangela Moro |                                       Saúde |              29 |                     1
     220635 |                         Bruno Ganem | Meio Ambiente e Desenvolvimento Sustentável |              29 |                     0
