"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"71788";"https://dadosabertos.camara.leg.br/api/v2/eventos/71788";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2381540";"2023-12-22T16:00:00";"";"Cancelada";"Pauta com item único";"Reunião Deliberativa";"";"Anexo II, Plenário 09";"";"";""
"71785";"https://dadosabertos.camara.leg.br/api/v2/eventos/71785";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2381414";"2023-12-22T14:00:00";"";"Cancelada";"Discussão e votação de propostas legislativas";"Reunião Deliberativa";"";"Anexo II, Plenário 07";"";"";""
"71790";"https://dadosabertos.camara.leg.br/api/v2/eventos/71790";"";"2023-12-22T12:01:00";"2023-12-22T15:16:00";"Encerrada";"Deliberação dos Projetos de Lei do Congresso Nacional nºs 27, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39 e 41 de 2023.";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"71780";"https://dadosabertos.camara.leg.br/api/v2/eventos/71780";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2382050";"2023-12-21T17:45:00";"2023-12-22T01:25:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"71756";"https://dadosabertos.camara.leg.br/api/v2/eventos/71756";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2379274";"2023-12-21T15:32:00";"";"Cancelada";"Deliberação de vetos e projetos de lei do Congresso Nacional.";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"71784";"https://dadosabertos.camara.leg.br/api/v2/eventos/71784";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2381105";"2023-12-21T11:00:00";"2023-12-21T12:00:00";"Encerrada (Final)";"Reunião com o Secretário-Geral do  Ministério das Cidades, Sr. Hildo Rocha, com o Chefe da assessoria parlamentar e com o chefe de gabinete do Ministro, sobre temas de interesse da CDU.";"Reunião Técnica";"Anexo II, Pav. Superior, Ala C, sala 188";"";"";"";""
"71717";"https://dadosabertos.camara.leg.br/api/v2/eventos/71717";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2376986";"2023-12-21T14:11:22";"2023-12-21T18:28:58";"Encerrada (Final)";"Discussão e votação de propostas legislativas";"Reunião Deliberativa";"";"Anexo II, Plenário 07";"";"";""
"71783";"https://dadosabertos.camara.leg.br/api/v2/eventos/71783";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2381072";"2023-12-21T09:00:00";"2023-12-21T10:00:00";"Encerrada (Final)";"Participantes:

Heitor Schuch
Deputado Federal

Uallace Moreira Lima
Secretário de Desenvolvimento Industrial, Inovação, Comércio e Serviços do Ministério do Desenvolvimento, Indústria, Comércio e Serviços - MDIC

José Roberto Contrucci
Vice-Presidente Comercial da BrasilSat

Giovanni César Ganime Alves
Representante da BrasilSat em Brasília/DF";"Reunião Técnica";"Sede do MDIC - Esplanada dos Ministérios, Bloco J";"";"";"";""
"71765";"https://dadosabertos.camara.leg.br/api/v2/eventos/71765";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2380964";"2023-12-20T19:27:00";"2023-12-21T00:23:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"71755";"https://dadosabertos.camara.leg.br/api/v2/eventos/71755";"";"2023-12-20T15:32:00";"2023-12-20T17:16:00";"Encerrada";"Promulgação da Emenda Constitucional nº 132, de 2023, referente à Proposta de Emenda à Constituição nº 45, de 2019, que altera o Sistema Tributário Nacional.";"Sessão Não Deliberativa Solene";"";"Plenário da Câmara dos Deputados";"";"";""
"71652";"https://dadosabertos.camara.leg.br/api/v2/eventos/71652";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2373742";"2023-12-20T15:00:27";"2023-12-20T15:49:52";"Encerrada (Final)";"Audiência Pública para discutir a prática esportiva do footgolf, em atenção ao Requerimento nº 86/2023, de autoria do deputado Prof. Paulo Fernando.

Convidados confirmados:

Sr. Luis Machado dos Santos - presidente da Confederação Brasileira
 de Parafootgolf; vice-presidente da Associação Footgolf Campo Olimpico do Rio (presidente em exercicio) (presencial);
Sr. Antão Santos - inventor do Footgolf (videoconferência);
Sra. Julia Kuboi - atleta feminina de footgolf no Brasil (videoconferência);
Sr. José Geraldo Berta – Presidente da Confederação Brasileira
 de Footgolf (CBFG) (videoconferência);
Sr. Mario Eduardo Baptista - Presidente da Federação Brasileira de
Footgolf (FBFG) (presencial);
Sr. Nikolas Antonini Ferreira Rodrigues - atleta PcD de footgolf (videoconferência);
Sr. Milton Queiroz da Paixão - presidente da associação footgolf Campo Olímpico (AFGCORIO) (videoconferência);
Sr. Miguel Allou - atleta mais antigo do footgolf (videoconferência);

Convidados:

Sr. Robson Caetano da Silva - medalhista olímpico e atleta de footgolf;
Sr. Arthur Antunes Coimbra – Ex-atleta de futebol;";"Audiência Pública";"";"Anexo II, Plenário 04";"";"";""
"71762";"https://dadosabertos.camara.leg.br/api/v2/eventos/71762";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2379680";"2023-12-20T16:20:22";"2023-12-20T20:46:18";"Encerrada (Final)";"Discussão e votação de propostas legislativas";"Reunião Deliberativa";"";"Anexo II, Plenário 07";"";"";""
"71725";"https://dadosabertos.camara.leg.br/api/v2/eventos/71725";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2377032";"2023-12-20T14:25:00";"2023-12-20T14:35:00";"Encerrada";"Reunião para tratar sobre os trabalhos da Comissão em 2023";"Reunião Técnica";"";"Anexo II, Plenário 05";"";"";""
