"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"2374400-121";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-121";"PLEN";"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382.";"Minoria";"";"Sim"
"2374400-121";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-121";"PLEN";"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382.";"Oposição";"";"Sim"
"2374400-121";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-121";"PLEN";"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382.";"Fdr PSOL-REDE";"";"Não"
"2374400-121";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-121";"PLEN";"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382.";"Bl UniPpFdrPsdbCid...";"";"Não"
"2374400-121";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-121";"PLEN";"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"2374400-121";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-121";"PLEN";"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Sim"
"2374400-121";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-121";"PLEN";"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382.";"Maioria";"";"Não"
"2374400-121";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-121";"PLEN";"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382.";"Bl MdbPsdRepPode";"";"Liberado"
"2374400-121";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-121";"PLEN";"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382.";"Governo";"";"Não"
"2374400-121";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-121";"PLEN";"Rejeitada a Emenda do Senado Federal nº 3. Sim: 120; não: 261; abstenção: 1; total: 382.";"Fdr PT-PCdoB-PV";"";"Não"
